conferenceId,name
conference::2022 2nd international conference on electronic information technology and smart agriculture (iceitsa),2022 2nd International Conference on Electronic Information Technology and Smart Agriculture (ICEITSA)
conference::international journal of humanities and social sciences,International journal of humanities and social sciences
conference::advances in library and information science,Advances in Library and Information Science
conference::nature physics,Nature Physics
conference::frontiers of engineering management,Frontiers of Engineering Management
conference::international conference on information science and engineering,International Conference on Information Science and Engineering
conference::intelligent and fuzzy techniques in big data analytics and decision making,Intelligent and Fuzzy Techniques in Big Data Analytics and Decision Making
conference::aeronautics and aerospace open access journal,Aeronautics and Aerospace Open Access Journal
"conference::2022 smart technologies, communication and robotics (stcr)","2022 Smart Technologies, Communication and Robotics (STCR)"
conference::american statistician,American Statistician
conference::caml review / revue de l acbm,CAML Review / Revue de l ACBM
conference::european journal of training and development,European Journal of Training and Development
conference::2024 international conference on advances in electrical engineering and computer applications (aeeca),2024 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA)
conference::proceedings of the 2024 9th international conference on cyber security and information engineering,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering
conference::the aesthetics and politics of the online self,The Aesthetics and Politics of the Online Self
conference::advanced computing in industrial mathematics,Advanced Computing in Industrial Mathematics
conference::physics in perspective,Physics in Perspective
conference::live campaigns,Live Campaigns
conference::journal of transport geography,Journal of Transport Geography
conference::acm cloud and autonomic computing conference,ACM Cloud and Autonomic Computing Conference
conference::2020 international conference on educational training and educational phenomena (icetep2020),2020 International Conference on Educational Training and Educational Phenomena (ICETEP2020)
conference::2019 ieee 8th international conference on advanced power system automation and protection (apap),2019 IEEE 8th International Conference on Advanced Power System Automation and Protection (APAP)
conference::journal of animal science,Journal of Animal Science
conference::journal of southern hemisphere earth systems science,Journal of Southern Hemisphere Earth Systems Science
conference::bandung conference series: statistics,Bandung Conference Series: Statistics
"conference::proceedings of the 2022 international conference on computer science, information engineering and digital economy (csiede 2022)","Proceedings of the 2022 International Conference on Computer Science, Information Engineering and Digital Economy (CSIEDE 2022)"
conference::proceedings of the international conference on policies and economics measures for agricultural development (agrodeveco 2020),Proceedings of the International Conference on Policies and Economics Measures for Agricultural Development (AgroDevEco 2020)
conference::2022 2nd international conference on big data engineering and education (bdee),2022 2nd International Conference on Big Data Engineering and Education (BDEE)
conference::hydrology and earth system sciences,Hydrology and Earth System Sciences
conference::al-ishlah: jurnal pendidikan,AL-ISHLAH: Jurnal Pendidikan
conference::ieee transactions on applied superconductivity,IEEE transactions on applied superconductivity
conference::international journal of recent technology and engineering,International journal of recent technology and engineering
conference::intersections,Intersections
conference::china economic review,China economic review
conference::data intensive storage services for cloud environments,Data Intensive Storage Services for Cloud Environments
conference::chinese control and decision conference,Chinese Control and Decision Conference
"conference::international conference on computing, communication and automation","International Conference on Computing, Communication and Automation"
conference::ecs transactions,ECS Transactions
conference::journal of computer science,Journal of Computer Science
conference::headache,Headache
conference::international journal of innovative technology and exploring engineering,International Journal of Innovative Technology and Exploring Engineering
"conference::ieee symposium on business, engineering and industrial applications","IEEE Symposium on Business, Engineering and Industrial Applications"
conference::international conference on electrical engineering and informatics,International Conference on Electrical Engineering and Informatics
conference::muhammadiyah international public health and medicine proceeding,Muhammadiyah International Public Health and Medicine Proceeding
conference::engineering headway,Engineering Headway
conference::jurnal ilmiah teunuleh,Jurnal Ilmiah Teunuleh
conference::2023 international conference on artificial intelligence for innovations in healthcare industries (icaiihi),2023 International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI)
conference::2021 international conference on big data analysis and computer science (bdacs),2021 International Conference on Big Data Analysis and Computer Science (BDACS)
conference::2020 6th international conference on big data and information analytics (bigdia),2020 6th International Conference on Big Data and Information Analytics (BigDIA)
conference::ieee conference on industrial electronics and applications,IEEE Conference on Industrial Electronics and Applications
conference::sirius - zeitschrift für strategische analysen,SIRIUS - Zeitschrift für Strategische Analysen
conference::grenek music journal,Grenek Music Journal
conference::synthesis lectures on communications,Synthesis Lectures on Communications
conference::international journal of electrical and computer engineering (ijece),International Journal of Electrical and Computer Engineering (IJECE)
conference::tecciencia,TECCIENCIA
conference::international conference civil engineering and architecture,International Conference Civil Engineering and Architecture
"conference::2018 international conference on information , communication, engineering and technology (icicet)","2018 International Conference on Information , Communication, Engineering and Technology (ICICET)"
conference::international journal of emerging trends in social sciences,International Journal of Emerging Trends in Social Sciences
conference::conference on industrial electronics and applications,Conference on Industrial Electronics and Applications
conference::2022 international conference on artificial intelligence and autonomous robot systems (aiars),2022 International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS)
conference::international conferences on innovation in artificial intelligence,International Conferences on Innovation in Artificial Intelligence
conference::advances in building energy research,Advances in Building Energy Research
"conference::international symposium on robotics, artificial intelligence, and information engineering","International Symposium on Robotics, Artificial Intelligence, and Information Engineering"
conference::genome biology,Genome Biology
conference::encyclopedia of big data technologies,Encyclopedia of Big Data Technologies
conference::elipsoida,Elipsoida
conference::the journal of environmental education,The Journal of Environmental Education
conference::advances in intelligent systems and computing,Advances in Intelligent Systems and Computing
conference::big earth data,Big Earth Data
"conference::2018 eleventh international conference ""management of large-scale system development"" (mlsd","2018 Eleventh International Conference ""Management of large-scale system development"" (MLSD"
conference::vidya karya,Vidya Karya
conference::journal of it cases and applications,Journal of IT Cases and Applications
"conference::proceedings of the 2020 4th international seminar on education, management and social sciences (isemss 2020)","Proceedings of the 2020 4th International Seminar on Education, Management and Social Sciences (ISEMSS 2020)"
conference::sae technical paper series,SAE technical paper series
conference::competition commission of india journal on competition law and policy,Competition Commission of India Journal on Competition Law and Policy
conference::revista eletrônica da educação,Revista Eletrônica da Educação
conference::solar physics,Solar Physics
conference::journal of engineering for gas turbines and power,Journal of Engineering For Gas Turbines and Power
conference::medical imaging,Medical Imaging
conference::physiological zoology,Physiological Zoology
conference::i-manager's journal on computer science,i-manager's Journal on Computer Science
conference::international conference on information control systems & technologies,International Conference on Information Control Systems & Technologies
conference::ieee transactions on industrial informatics,IEEE Transactions on Industrial Informatics
conference::discover food,Discover Food
"conference::convergence of blockchain, ai, and iot","Convergence of Blockchain, AI, and IoT"
conference::international conference on big data computing service and applications,International Conference on Big Data Computing Service and Applications
conference::philosophical literary journal logos,Philosophical Literary Journal Logos
conference::inovasi manajemen dan kebijakan publik,Inovasi Manajemen dan Kebijakan Publik
conference::crime prevention and justice in 2030,Crime Prevention and Justice in 2030
"conference::2019 ieee 3rd information technology, networking, electronic and automation control conference (itnec)","2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)"
conference::saudi journal of business and management studies,Saudi Journal of Business and Management Studies
conference::the teacher of the future,The teacher of the future
conference::jom,JOM
conference::2021 international conference on electronic information engineering and computer science (eiecs),2021 International Conference on Electronic Information Engineering and Computer Science (EIECS)
conference::proceedings of the 2019 international spbpu scientific conference on innovations in digital economy,Proceedings of the 2019 International SPBPU Scientific Conference on Innovations in Digital Economy
"conference::2023 2nd international conference on cloud computing, big data application and software engineering (cbase)","2023 2nd International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)"
"conference::2023 third international conference on advances in electrical, computing, communication and sustainable technologies (icaect)","2023 Third International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT)"
conference::pediatric hematology & oncology,Pediatric Hematology & Oncology
conference::health science inquiry,Health Science Inquiry
conference::2014 ieee symposium on computer applications and communications,2014 IEEE Symposium on Computer Applications and Communications
conference::smart structures and materials + nondestructive evaluation and health monitoring,Smart Structures and Materials + Nondestructive Evaluation and Health Monitoring
conference::2025 international conference on knowledge engineering and communication systems (ickecs),2025 International Conference on Knowledge Engineering and Communication Systems (ICKECS)
conference::2025 international conference on emerging trends in networks and computer communications (etncc),2025 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC)
conference::مجلة الجمعیة المصریة لنظم المعلومات وتکنولوجیا الحاسبات,مجلة الجمعیة المصریة لنظم المعلومات وتکنولوجیا الحاسبات
conference::digital technologies and applications,Digital Technologies and Applications
conference::visión electrónica,Visión electrónica
conference::advances in civil and industrial engineering,Advances in Civil and Industrial Engineering
conference::international conference on applications and techniques in cyber intelligence,International Conference on Applications and Techniques in Cyber Intelligence
"conference::saturday, 16 june 2018","Saturday, 16 JUNE 2018"
conference::vnu journal of science computer science and communication engineering,VNU Journal of Science Computer Science and Communication Engineering
conference::ieee pes asia-pacific power and energy engineering conference,IEEE PES Asia-Pacific Power and Energy Engineering Conference
conference::high-performance modelling and simulation for big data applications,High-Performance Modelling and Simulation for Big Data Applications
conference::international journal of information technology and computer science,International Journal of Information Technology and Computer Science
conference::tawazun: jurnal pendidikan islam,Tawazun: Jurnal Pendidikan Islam
conference::2021 5th international conference on trends in electronics and informatics (icoei),2021 5th International Conference on Trends in Electronics and Informatics (ICOEI)
conference::studies in nonlinear dynamics &amp; econometrics,Studies in Nonlinear Dynamics &amp; Econometrics
conference::marketing letters,Marketing letters
conference::international conference on the digital society,International Conference on the Digital Society
conference::bulletin of social informatics theory and application,Bulletin of Social Informatics Theory and Application
conference::2020 6th iranian conference on signal processing and intelligent systems (icspis),2020 6th Iranian Conference on Signal Processing and Intelligent Systems (ICSPIS)
conference::anais do(a) congresso internacional de direitos humanos de coimbra,Anais do(a) Congresso Internacional de Direitos Humanos de Coimbra
conference::alzheimer's & dementia,Alzheimer's & Dementia
conference::inverse problems,Inverse Problems
"conference::2025 international conference on algorithm, artificial intelligence and computer vision (aaicv)","2025 International Conference on Algorithm, Artificial Intelligence and Computer Vision (AAICV)"
conference::auditing,Auditing
conference::jurnal eksplorasi akuntansi,JURNAL EKSPLORASI AKUNTANSI
"conference::2025 international conference on computer science, technology and engineering (iccste)","2025 International Conference on Computer Science, Technology and Engineering (ICCSTE)"
conference::service business: an international journal,Service Business: An International Journal
conference::aoir selected papers of internet research,AoIR Selected Papers of Internet Research
conference::new media & society,New Media & Society
conference::vestnik of saint petersburg university. international relations,Vestnik of Saint Petersburg University. International relations
conference::current issues in personality psychology,Current Issues in Personality Psychology
conference::mobile information systems,Mobile Information Systems
conference::formula 4.0 for digital transformation,Formula 4.0 for Digital Transformation
conference::international journal of engineering technology and management sciences,International Journal of Engineering Technology and Management Sciences
"conference::economics, taxes &amp; law","Economics, taxes &amp; law"
conference::international journal of sustainable development and planning,International Journal of Sustainable Development and Planning
conference::2021 2nd international conference on artificial intelligence and education (icaie),2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)
conference::international conference on transportation information and safety,International Conference on Transportation Information and Safety
conference::international conference on frontiers of educational technologies,International Conference on Frontiers of Educational Technologies
conference::inverse problems and imaging,Inverse Problems and Imaging
conference::2022 international conference on knowledge engineering and communication systems (ickes),2022 International Conference on Knowledge Engineering and Communication Systems (ICKES)
conference::congresso brasileiro de mecânica dos solos e engenharia geotécnica,Congresso Brasileiro de Mecânica dos Solos e Engenharia Geotécnica
conference::vestnik tomskogo gosudarstvennogo universiteta kul turologiya i iskusstvovedenie,Vestnik Tomskogo gosudarstvennogo universiteta Kul turologiya i iskusstvovedenie
conference::international journal of operations & production management,International Journal of Operations & Production Management
conference::european journal of sustainable development,European Journal of Sustainable Development
conference::information security practice and experience,Information Security Practice and Experience
"conference::2017 international conference on computer systems, electronics and control (iccsec)","2017 International Conference on Computer Systems, Electronics and Control (ICCSEC)"
conference::genitourinary medicine,Genitourinary medicine
conference::big data intelligence for smart applications,Big Data Intelligence for Smart Applications
conference::2020 5th ieee international conference on big data analytics (icbda),2020 5th IEEE International Conference on Big Data Analytics (ICBDA)
conference::2016 ieee international conference on knowledge engineering and applications (ickea),2016 IEEE International Conference on Knowledge Engineering and Applications (ICKEA)
conference::clinical infectious diseases,Clinical Infectious Diseases
conference::journal of risk analysis and crisis response (jracr),Journal of Risk Analysis and Crisis Response (JRACR)
conference::journal of korea research association of international commerce,Journal of Korea Research Association of International Commerce
"conference::2017 3rd international conference on control, automation and robotics (iccar)","2017 3rd International Conference on Control, Automation and Robotics (ICCAR)"
conference::2025 international conference on computing technologies & data communication (icctdc),2025 International Conference on Computing Technologies & Data Communication (ICCTDC)
"conference::international journal of business, management and economics","International Journal of Business, Management and Economics"
conference::molecular and cellular biology / genetics,Molecular and Cellular Biology / Genetics
conference::journal für verbraucherschütz und lebensmittelsicherheit,Journal für Verbraucherschütz und Lebensmittelsicherheit
conference::the handbook of china's financial system,The Handbook of China's Financial System
conference::journal of plant nutrition,Journal of plant nutrition
conference::journal of the institution of engineers (india) series d,Journal of The Institution of Engineers (India) Series D
conference::artery research,Artery Research
conference::the future life of trauma,The Future Life of Trauma
"conference::saturday, 15 june 2019","SATURDAY, 15 JUNE 2019"
conference::journal of urbanism: international research on placemaking and urban sustainability,Journal of Urbanism: International Research on Placemaking and Urban Sustainability
conference::ieee international conference on grey systems and intelligent services,IEEE International Conference on Grey systems and Intelligent Services
conference::journal of food and nutrition research,Journal of Food and Nutrition Research
conference::life after privacy,Life after Privacy
conference::jornal de pediatria,Jornal de Pediatria
"conference::proceedings of the 48th international academic conference, copenhagen","Proceedings of the 48th International Academic Conference, Copenhagen"
conference::landslides,Landslides
"conference::slavic review: interdisciplinary quarterly of russian, eurasian, and east european studies","Slavic Review: Interdisciplinary Quarterly of Russian, Eurasian, and East European Studies"
conference::optical and quantum electronics,Optical and quantum electronics
conference::bmj open,BMJ Open
conference::journal of neuroengineering and rehabilitation,Journal of NeuroEngineering and Rehabilitation
conference::optoelectronics letters,Optoelectronics Letters
conference::international conference on industrial technology,International Conference on Industrial Technology
conference::in the shadow of the epidemic,In the Shadow of the Epidemic
conference::scientific investigations report,Scientific Investigations Report
conference::chen yi,Chen Yi
conference::journal of high energy physics,Journal of High Energy Physics
conference::iop conference series: materials science and engineering,IOP Conference Series: Materials Science and Engineering
conference::international symposium on optomechatronic technologies,International Symposium on Optomechatronic Technologies
conference::hormones,HORMONES
conference::modern network technologies,Modern Network technologies
conference::applied mathematics and mechanics,Applied Mathematics and Mechanics
conference::definitions,Definitions
conference::akuntabilitas,Akuntabilitas
conference::sexually transmitted diseases,Sexually Transmitted Diseases
conference::international conference on optoelectronic and microelectronic technology and application,International Conference on Optoelectronic and Microelectronic Technology and Application
conference::aerosol and air quality research,Aerosol and Air Quality Research
conference::geomagnetism and aeronomy,Geomagnetism and Aeronomy
conference::paripex-indian journal of research,PARIPEX-INDIAN JOURNAL OF RESEARCH
conference::optics communications,Optics Communications
conference::college literature,College Literature
conference::business and economic research,Business and Economic Research
conference::advances in design and control,Advances in design and control
conference::2020 the 4th international conference on business and information management,2020 The 4th International Conference on Business and Information Management
conference::journal of asian studies,Journal of Asian Studies
conference::comparative clinical pathology,Comparative Clinical Pathology
conference::resources for american literary study,Resources for American Literary Study
conference::international and comparative law quarterly,International and Comparative Law Quarterly
conference::optics + photonics,Optics + Photonics
conference::child indicators research,Child Indicators Research
conference::teorìâ ta metodika fìzičnogo vihovannâ,Teorìâ ta Metodika Fìzičnogo Vihovannâ
conference::the cambridge law journal,The Cambridge Law Journal
conference::the creolization of theory,The Creolization of Theory
conference::european heart journal,European Heart Journal
conference::mathematics,Mathematics
conference::revista tecnología en marcha,Revista Tecnología en Marcha
conference::revista bibliomar,Revista Bibliomar
conference::medical herald of the south of russia,Medical Herald of the South of Russia
conference::progress in electromagnetics research letters,Progress In Electromagnetics Research Letters
conference::journal of food measurement & characterization,Journal of Food Measurement & Characterization
conference::catena,CATENA
conference::optics & photonics,Optics & Photonics
conference::annals of surgical oncology,Annals of Surgical Oncology
conference::agile auditing,Agile Auditing
conference::indian journal of transplantation,Indian Journal of Transplantation
conference::aquatic ecology,Aquatic Ecology
conference::revista de la sociedad entomológica argentina,Revista de la Sociedad Entomológica Argentina
conference::intertextual explorations in deuterocanonical and cognate literature,Intertextual Explorations in Deuterocanonical and Cognate Literature
conference::journal of petroleum science and engineering,Journal of Petroleum Science and Engineering
conference::journal of business-to-business marketing,Journal of Business-to-Business Marketing
conference::business history review,Business History Review
conference::european journal of soil science,European Journal of Soil Science
"conference::the handbook of race, ethnicity, crime, and justice","The Handbook of Race, Ethnicity, Crime, and Justice"
conference::international journal of business technology and organizational behavior (ijbtob),International Journal of Business Technology and Organizational Behavior (IJBTOB)
conference::communications in mathematics and statistics,Communications in Mathematics and Statistics
conference::conference record of ieee international symposium on electrical insulation,Conference record of IEEE International Symposium on Electrical Insulation
conference::journal of thoracic disease,Journal of Thoracic Disease
conference::2008 10th anniversary international conference on transparent optical networks,2008 10th Anniversary International Conference on Transparent Optical Networks
conference::nature,Nature
conference::ichthyological research,Ichthyological Research
conference::applied mathematics and control sciences,Applied Mathematics and Control Sciences
conference::renewable energy,Renewable Energy
conference::international conference on optical communications and networks,International Conference on Optical Communications and Networks
conference::tropical animal health and production,Tropical Animal Health and Production
conference::revista de economía y estadística,Revista de Economía y Estadística
conference::world health organization,World Health Organization
conference::edinburgh medical journal,Edinburgh medical journal
conference::down from olympus,Down from Olympus
conference::dialogue,Dialogue
conference::british journal of pharmacology,British Journal of Pharmacology
conference::the classical review,The Classical Review
conference::scientific reports,Scientific Reports
"conference::clinical respiratory physiology, exercise and functional imaging","Clinical respiratory physiology, exercise and functional imaging"
conference::hormone research in paediatrics,Hormone Research in Paediatrics
"conference::african journal of hospitality, tourism and leisure","African Journal of Hospitality, Tourism and Leisure"
conference::acs photonics,ACS Photonics
conference::the godman and the sea,The Godman and the Sea
conference::national association of korean local government studies,National Association of Korean Local Government Studies
conference::proceedings of 2011 ieee cie international conference on radar,Proceedings of 2011 IEEE CIE International Conference on Radar
conference::laboratoriums medizin,Laboratoriums Medizin
conference::annals of public health reports,Annals of Public Health Reports
conference::developments in petroleum science,Developments in Petroleum Science
conference::2013 ieee 8th conference on industrial electronics and applications (iciea),2013 IEEE 8th Conference on Industrial Electronics and Applications (ICIEA)
conference::crustaceana,Crustaceana
conference::pediatrics,Pediatrics
conference::administrative law,Administrative Law
conference::2023 2nd international symposium on aerospace engineering and systems (isaes),2023 2nd International Symposium on Aerospace Engineering and Systems (ISAES)
conference::age of empires,Age of Empires
"conference::research in agriculture, livestock and fisheries","Research in Agriculture, Livestock and Fisheries"
conference::the law of international organisations (third edition),The law of international organisations (third edition)
"conference::the complete letters of henry james, 1884–1886","The Complete Letters of Henry James, 1884–1886"
conference::journal of modern optics,Journal of Modern Optics
conference::natural hazards,Natural Hazards
conference::kvasny prumysl,Kvasny Prumysl
conference::optical engineering: the journal of spie,Optical Engineering: The Journal of SPIE
conference::international forum on research and technologies for society and industry leveraging a better tomorrow,International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow
conference::the american journal of digestive diseases,The American Journal of Digestive Diseases
conference::international journal of current microbiology and applied sciences,International Journal of Current Microbiology and Applied Sciences
conference::journal of sustainable finance & investment,Journal of Sustainable Finance & Investment
conference::clinical nutrition,Clinical Nutrition
conference::plant systematics and evolution,Plant Systematics and Evolution
conference::international journal of vehicle structures and systems,International Journal of Vehicle Structures and Systems
conference::pediatric research,Pediatric Research
conference::pediatrics in review,Pediatrics in review
"conference::studies in systems, decision and control","Studies in Systems, Decision and Control"
conference::international soil and water conservation research,International Soil and Water Conservation Research
conference::reactions weekly,Reactions weekly
