name,volumeId,volumeNumber,year
International Conference on Model-Driven Engineering and Software Development,volume::international conference on model-driven engineering and software development::2022::10,10,2022
arXiv.org,volume::arxiv.org::2025::12,12,2025
bioRxiv,volume::biorxiv::2021::8,8,2021
Molecular Ecology Resources,volume::molecular ecology resources::2024::6,6,2024
Italian National Conference on Sensors,volume::italian national conference on sensors::2022::11,11,2022
Distributed and parallel databases,volume::distributed and parallel databases::2013::9,9,2013
TODS,volume::tods::2007::17,17,2007
Journal of Information Processing,volume::journal of information processing::2014::19,19,2014
Voprosy Ekonomiki,volume::voprosy ekonomiki::2024::18,18,2024
Int. J. Artif. Intell. Tools,volume::int. j. artif. intell. tools::2006::18,18,2006
International Conference on Information and Knowledge Management,volume::international conference on information and knowledge management::2006::4,4,2006
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2010::8,8,2010
Genetics in Medicine,volume::genetics in medicine::2021::10,10,2021
IEEE International Conference on Data Engineering,volume::ieee international conference on data engineering::2018::10,10,2018
Concurrency and Computation,volume::concurrency and computation::2021::1,1,2021
Intelligent Systems in Molecular Biology,volume::intelligent systems in molecular biology::1998::17,17,1998
ACM Multimedia,volume::acm multimedia::2010::11,11,2010
arXiv.org,volume::arxiv.org::2025::6,6,2025
Blood,volume::blood::2023::9,9,2023
International Conference on Statistical and Scientific Database Management,volume::international conference on statistical and scientific database management::2008::9,9,2008
BMC Geriatrics,volume::bmc geriatrics::2025::10,10,2025
IEEE Transactions on Dependable and Secure Computing,volume::ieee transactions on dependable and secure computing::2022::5,5,2022
International Conference on Information and Knowledge Management,volume::international conference on information and knowledge management::2020::1,1,2020
Human Reproduction Open,volume::human reproduction open::2025::12,12,2025
Data & Knowledge Engineering,volume::data & knowledge engineering::1994::4,4,1994
International Conference on Knowledge Discovery and Information Retrieval,volume::international conference on knowledge discovery and information retrieval::2016::13,13,2016
English Language Teaching,volume::english language teaching::2023::4,4,2023
ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,volume::acm sigact-sigmod-sigart symposium on principles of database systems::2004::12,12,2004
TODS,volume::tods::2003::16,16,2003
Annual SRII Global Conference,volume::annual srii global conference::2012::20,20,2012
Avocetta,volume::avocetta::2024::12,12,2024
Karst Science Days Symposium Proceedings,volume::karst science days symposium proceedings::2025::2,2,2025
SIGMOD Conference,volume::sigmod conference::2006::9,9,2006
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2023::16,16,2023
International Journal for Research in Applied Science and Engineering Technology,volume::international journal for research in applied science and engineering technology::2025::7,7,2025
Italian National Conference on Sensors,volume::italian national conference on sensors::2021::1,1,2021
"Protein engineering, design & selection : PEDS","volume::protein engineering, design & selection : peds::2007::2",2,2007
International Symposium on Computers and Communications,volume::international symposium on computers and communications::2020::16,16,2020
Joint International Conference of Semantic Technology,volume::joint international conference of semantic technology::2018::13,13,2018
Journal of Indo-Pacific Archaeology,volume::journal of indo-pacific archaeology::2020::4,4,2020
"SBV Journal of Basic, Clinical and Applied Health Science","volume::sbv journal of basic, clinical and applied health science::2024::7",7,2024
Medical Informatics Europe,volume::medical informatics europe::2022::10,10,2022
Bioinform.,volume::bioinform.::2019::20,20,2019
International Journal of Intelligent Information and Database Systems,volume::international journal of intelligent information and database systems::2008::3,3,2008
International Conference on Information Processing and Management of Uncertainty,volume::international conference on information processing and management of uncertainty::2014::18,18,2014
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2012::12,12,2012
Information Processing & Management,volume::information processing & management::1985::9,9,1985
International Conference on Geoinformatics and Data Analysis,volume::international conference on geoinformatics and data analysis::2023::13,13,2023
IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications,volume::ieee infocom 2016 - the 35th annual ieee international conference on computer communications::2016::16,16,2016
Journal of Trauma and Acute Care Surgery,volume::journal of trauma and acute care surgery::2024::2,2,2024
Omics,volume::omics::2003::10,10,2003
SIGMOD Conference,volume::sigmod conference::1999::14,14,1999
"2007 IEEE International Conference on Research, Innovation and Vision for the Future","volume::2007 ieee international conference on research, innovation and vision for the future::2007::5",5,2007
Bioinform.,volume::bioinform.::2007::16,16,2007
Medical Physics (Lancaster),volume::medical physics (lancaster)::2012::8,8,2012
LSC@ICMR,volume::lsc@icmr::2024::18,18,2024
Iberian Conference on Pattern Recognition and Image Analysis,volume::iberian conference on pattern recognition and image analysis::2011::6,6,2011
2007 IEEE Symposium on Visual Analytics Science and Technology,volume::2007 ieee symposium on visual analytics science and technology::2007::10,10,2007
[1992] Proceedings Fifth Annual IEEE Symposium on Computer-Based Medical Systems,volume::[1992] proceedings fifth annual ieee symposium on computer-based medical systems::1992::17,17,1992
Frontiers of Computer Science,volume::frontiers of computer science::2023::12,12,2023
Cancer Management and Research,volume::cancer management and research::2018::5,5,2018
arXiv.org,volume::arxiv.org::2025::2,2,2025
International Conference on Wirtschaftsinformatik,volume::international conference on wirtschaftsinformatik::2004::6,6,2004
Electronic Commerce Research and Applications,volume::electronic commerce research and applications::2003::13,13,2003
Proceedings of the Nutrition Society,volume::proceedings of the nutrition society::2023::14,14,2023
Joint International Conference of Semantic Technology,volume::joint international conference of semantic technology::2016::20,20,2016
Theoretical Aspects of Software Engineering,volume::theoretical aspects of software engineering::2024::6,6,2024
Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH,volume::acta informatica medica : aim : journal of the society for medical informatics of bosnia & herzegovina : casopis drustva za medicinsku informatiku bih::2024::8,8,2024
Neural Networks,volume::neural networks::2023::2,2,2023
Journal of Social and Organizational Matters,volume::journal of social and organizational matters::2025::15,15,2025
IEEE Symposium on Field-Programmable Custom Computing Machines,volume::ieee symposium on field-programmable custom computing machines::2023::5,5,2023
International Conference on Computer Science and Information Technologies,volume::international conference on computer science and information technologies::2022::17,17,2022
ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming,volume::acm-sigplan international conference on principles and practice of declarative programming::2010::14,14,2010
International Conference on Computer Science and Software Engineering,volume::international conference on computer science and software engineering::2008::8,8,2008
European Journal of Endocrinology,volume::european journal of endocrinology::2020::12,12,2020
Knowledge-Based Systems,volume::knowledge-based systems::2012::9,9,2012
arXiv.org,volume::arxiv.org::2025::15,15,2025
2008 The Ninth International Conference on Web-Age Information Management,volume::2008 the ninth international conference on web-age information management::2008::17,17,2008
SIGMOD Conference,volume::sigmod conference::2009::19,19,2009
Guidelines and Standards of Chinese Medicine,volume::guidelines and standards of chinese medicine::2024::17,17,2024
2011 IEEE Fifth International Conference on Semantic Computing,volume::2011 ieee fifth international conference on semantic computing::2011::17,17,2011
The American surgeon,volume::the american surgeon::2017::11,11,2017
Data & Knowledge Engineering,volume::data & knowledge engineering::2001::10,10,2001
Datenbank-Spektrum,volume::datenbank-spektrum::2017::6,6,2017
Journal of King Saud University: Computer and Information Sciences,volume::journal of king saud university: computer and information sciences::2016::17,17,2016
Petra,volume::petra::2024::5,5,2024
arXiv.org,volume::arxiv.org::2025::8,8,2025
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2013::14,14,2013
IEEE International Conference on Industrial Engineering and Engineering Management,volume::ieee international conference on industrial engineering and engineering management::2011::13,13,2011
Brilliance Research of Artificial Intelligence,volume::brilliance research of artificial intelligence::2025::6,6,2025
IACR Cryptology ePrint Archive,volume::iacr cryptology eprint archive::2022::15,15,2022
Journal of Gastrointestinal Surgery,volume::journal of gastrointestinal surgery::2015::6,6,2015
International Conference on Extending Database Technology,volume::international conference on extending database technology::2021::7,7,2021
IEEE International Conference on Data Engineering,volume::ieee international conference on data engineering::2007::18,18,2007
Information Sciences,volume::information sciences::1998::1,1,1998
Neuroepidemiology,volume::neuroepidemiology::2024::3,3,2024
arXiv.org,volume::arxiv.org::2026::7,7,2026
Communication Systems and Applications,volume::communication systems and applications::2006::17,17,2006
Journal of Chemical Information and Modeling,volume::journal of chemical information and modeling::2010::15,15,2010
International Conference on Information Systems Security and Privacy,volume::international conference on information systems security and privacy::2018::18,18,2018
European Conference on Information Retrieval,volume::european conference on information retrieval::2020::19,19,2020
Pattern Recognition,volume::pattern recognition::2023::8,8,2023
International Conference on Electronic Commerce and Web Technologies,volume::international conference on electronic commerce and web technologies::2005::8,8,2005
Knowledge-Based Systems,volume::knowledge-based systems::2025::19,19,2025
Conference on Empirical Methods in Natural Language Processing,volume::conference on empirical methods in natural language processing::2025::1,1,2025
IEEE International Conference on Network Protocols,volume::ieee international conference on network protocols::2018::6,6,2018
International Journal for Sciences and Technology,volume::international journal for sciences and technology::2025::15,15,2025
Eastern-European Journal of Enterprise Technologies,volume::eastern-european journal of enterprise technologies::2024::2,2,2024
arXiv.org,volume::arxiv.org::2024::6,6,2024
Indian Journal of Information Sources and Services,volume::indian journal of information sources and services::2025::11,11,2025
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2025::11,11,2025
John Vincent Atanasoff Symposium,volume::john vincent atanasoff symposium::2006::13,13,2006
ACM-SIAM Symposium on Discrete Algorithms,volume::acm-siam symposium on discrete algorithms::2006::9,9,2006
IEEE pervasive computing,volume::ieee pervasive computing::2003::13,13,2003
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management","volume::international joint conference on knowledge discovery, knowledge engineering and knowledge management::2010::6",6,2010
2014 IEEE International Conference on Big Data (Big Data),volume::2014 ieee international conference on big data (big data)::2014::19,19,2014
Current Directions in Biomedical Engineering,volume::current directions in biomedical engineering::2023::20,20,2023
Electronic imaging,volume::electronic imaging::1993::8,8,1993
mSystems,volume::msystems::2023::4,4,2023
IEEE transactions on intelligent transportation systems (Print),volume::ieee transactions on intelligent transportation systems (print)::2022::5,5,2022
Chemical Sensors,volume::chemical sensors::2019::16,16,2019
IEEE Access,volume::ieee access::2025::2,2,2025
The Sea,volume::the sea::2014::6,6,2014
Journal of Intelligence and Information Systems,volume::journal of intelligence and information systems::2019::13,13,2019
International Conference on Information and Knowledge Management,volume::international conference on information and knowledge management::2011::18,18,2011
IEEE Transactions on Instrumentation and Measurement,volume::ieee transactions on instrumentation and measurement::2023::17,17,2023
American Journal of Medicine Open,volume::american journal of medicine open::2023::18,18,2023
arXiv.org,volume::arxiv.org::2024::17,17,2024
ACM Symposium on Parallelism in Algorithms and Architectures,volume::acm symposium on parallelism in algorithms and architectures::1993::16,16,1993
"2013 Eighth International Conference on P2P, Parallel, Grid, Cloud and Internet Computing","volume::2013 eighth international conference on p2p, parallel, grid, cloud and internet computing::2013::18",18,2013
International Conference on Database Systems for Advanced Applications,volume::international conference on database systems for advanced applications::2007::7,7,2007
International Web Rule Symposium,volume::international web rule symposium::2006::15,15,2006
arXiv.org,volume::arxiv.org::2026::16,16,2026
Information Systems,volume::information systems::2007::20,20,2007
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,volume::annual international acm sigir conference on research and development in information retrieval::1979::5,5,1979
International Symposium on Autonomous Decentralized Systems,volume::international symposium on autonomous decentralized systems::2007::18,18,2007
Neurocomputing,volume::neurocomputing::2020::12,12,2020
JMIR Aging,volume::jmir aging::2020::13,13,2020
Gynecologic Oncology,volume::gynecologic oncology::2020::8,8,2020
Social Science & Medicine (1967),volume::social science & medicine (1967)::2018::13,13,2018
IEEE International Conference on Data Engineering,volume::ieee international conference on data engineering::2025::12,12,2025
Journal of Islamic Accounting and Business Research,volume::journal of islamic accounting and business research::2026::11,11,2026
Journal of Trauma and Acute Care Surgery,volume::journal of trauma and acute care surgery::2016::5,5,2016
Journal of medical systems,volume::journal of medical systems::2012::19,19,2012
International Journal of Multimedia Information Retrieval,volume::international journal of multimedia information retrieval::2015::1,1,2015
Journal of Orthopaedic Surgery,volume::journal of orthopaedic surgery::2019::9,9,2019
European Journal of Cancer Prevention,volume::european journal of cancer prevention::2004::9,9,2004
IEEE Internet of Things Journal,volume::ieee internet of things journal::2023::10,10,2023
Neural Information Processing Systems,volume::neural information processing systems::2024::16,16,2024
bioRxiv,volume::biorxiv::2026::19,19,2026
Neural Information Processing Systems,volume::neural information processing systems::2023::19,19,2023
International Conference on Smart Multimedia,volume::international conference on smart multimedia::2007::12,12,2007
Journal of American College Health,volume::journal of american college health::2025::7,7,2025
ACM SIGMOD Conference,volume::acm sigmod conference::2007::13,13,2007
Brazilian Symposium on Information Systems,volume::brazilian symposium on information systems::2012::11,11,2012
Database J. Biol. Databases Curation,volume::database j. biol. databases curation::2010::6,6,2010
SIGMOD Conference,volume::sigmod conference::2014::15,15,2014
Genetics and Molecular Biology,volume::genetics and molecular biology::2020::14,14,2020
International Conference on Frontiers in Intelligent Computing: Theory and Applications,volume::international conference on frontiers in intelligent computing: theory and applications::2020::12,12,2020
European Journal of Cell Biology,volume::european journal of cell biology::2023::8,8,2023
Journal of Computing Science and Engineering,volume::journal of computing science and engineering::2007::2,2,2007
International Conference on Software and Data Technologies,volume::international conference on software and data technologies::2006::11,11,2006
SIGMOD Conference Companion,volume::sigmod conference companion::2023::12,12,2023
IEEE Transactions on Parallel and Distributed Systems,volume::ieee transactions on parallel and distributed systems::2015::9,9,2015
Indian Journal of Orthopaedics,volume::indian journal of orthopaedics::2020::20,20,2020
Protein Science,volume::protein science::2021::7,7,2021
BMC Genomics,volume::bmc genomics::2008::9,9,2008
Proceedings / International Conference on Data Engineering,volume::proceedings / international conference on data engineering::2004::17,17,2004
IEEE Global Conference on Signal and Information Processing,volume::ieee global conference on signal and information processing::2013::7,7,2013
CHI Conference Companion,volume::chi conference companion::1996::8,8,1996
Korean Institute of Smart Media,volume::korean institute of smart media::2025::15,15,2025
The Journal of Information Systems,volume::the journal of information systems::2007::5,5,2007
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2002::18,18,2002
Symposium on the Theory of Computing,volume::symposium on the theory of computing::2024::19,19,2024
Italian National Conference on Sensors,volume::italian national conference on sensors::2025::1,1,2025
BeyondMR@SIGMOD,volume::beyondmr@sigmod::2017::11,11,2017
SIGMOD Conference,volume::sigmod conference::2014::18,18,2014
BMC Bioinformatics,volume::bmc bioinformatics::2018::1,1,2018
International Conference on Database Systems for Advanced Applications,volume::international conference on database systems for advanced applications::2007::8,8,2007
ICTACT Journal on Communication Technology,volume::ictact journal on communication technology::2016::3,3,2016
International Conference on Conceptual Structures,volume::international conference on conceptual structures::2003::12,12,2003
SOFT MEASUREMENTS AND COMPUTING,volume::soft measurements and computing::2025::7,7,2025
Clinical Cancer Research,volume::clinical cancer research::2014::17,17,2014
Bulletin of The American Meteorological Society - (BAMS),volume::bulletin of the american meteorological society - (bams)::2024::20,20,2024
JMIR Medical Informatics,volume::jmir medical informatics::2024::12,12,2024
IEEE Access,volume::ieee access::2022::13,13,2022
Plastic and Reconstructive Surgery,volume::plastic and reconstructive surgery::2020::11,11,2020
Proceedings Thirteenth International Conference on Scientific and Statistical Database Management. SSDBM 2001,volume::proceedings thirteenth international conference on scientific and statistical database management. ssdbm 2001::2001::19,19,2001
Web Search and Data Mining,volume::web search and data mining::2014::4,4,2014
Information Resources Management Journal,volume::information resources management journal::2008::10,10,2008
SCG '95,volume::scg '95::1995::14,14,1995
Knowledge and Information Systems,volume::knowledge and information systems::2012::8,8,2012
ACM-SIAM Symposium on Discrete Algorithms,volume::acm-siam symposium on discrete algorithms::2017::8,8,2017
Frontiers of Computer Science,volume::frontiers of computer science::2015::7,7,2015
International Conference on Language Resources and Evaluation,volume::international conference on language resources and evaluation::2024::5,5,2024
Symposium on Small Systems,volume::symposium on small systems::1981::14,14,1981
Journal of Artificial Intelligence &amp; Cloud Computing,volume::journal of artificial intelligence &amp; cloud computing::2022::19,19,2022
IEEE transactions on engineering management,volume::ieee transactions on engineering management::2021::3,3,2021
SIGMOD Conference,volume::sigmod conference::2016::14,14,2016
2015 IEEE International Conference on Data Mining,volume::2015 ieee international conference on data mining::2015::19,19,2015
Quantum Information Processing,volume::quantum information processing::2025::11,11,2025
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2014::3,3,2014
Medical Science Monitor,volume::medical science monitor::2020::17,17,2020
Information Sciences,volume::information sciences::2019::12,12,2019
ACM SIGMOD Conference,volume::acm sigmod conference::2007::1,1,2007
IEEE Transactions on Visualization and Computer Graphics,volume::ieee transactions on visualization and computer graphics::2021::1,1,2021
Conference on Empirical Methods in Natural Language Processing,volume::conference on empirical methods in natural language processing::2023::4,4,2023
International Conference on Information and Knowledge Management,volume::international conference on information and knowledge management::2001::7,7,2001
Global Conference on Artificial Intelligence,volume::global conference on artificial intelligence::2015::15,15,2015
IEEE Conference on Computer Communications,volume::ieee conference on computer communications::2021::19,19,2021
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2018::2,2,2018
Neurocomputing,volume::neurocomputing::2014::2,2,2014
International Conference on Soft Computing for Problem Solving,volume::international conference on soft computing for problem solving::2012::4,4,2012
Acta oncologica,volume::acta oncologica::2021::10,10,2021
IEEE Transactions on Knowledge and Data Engineering,volume::ieee transactions on knowledge and data engineering::2007::16,16,2007
Journal of the American Academy of Orthopaedic Surgeons,volume::journal of the american academy of orthopaedic surgeons::2024::17,17,2024
arXiv.org,volume::arxiv.org::2024::8,8,2024
Data in Brief,volume::data in brief::2024::6,6,2024
Decision Support Systems,volume::decision support systems::2001::9,9,2001
International Journal of Computer Assisted Radiology and Surgery,volume::international journal of computer assisted radiology and surgery::2025::14,14,2025
IBM Systems Journal,volume::ibm systems journal::2001::13,13,2001
International Conference on Information Integration and Web-based Applications & Services,volume::international conference on information integration and web-based applications & services::2020::16,16,2020
Neural computing & applications (Print),volume::neural computing & applications (print)::2020::3,3,2020
Medical Informatics Europe,volume::medical informatics europe::2015::6,6,2015
Journal of Biomedical Informatics,volume::journal of biomedical informatics::2016::16,16,2016
Fixed Points in Computer Science,volume::fixed points in computer science::2015::11,11,2015
International Conference on Database Theory,volume::international conference on database theory::2015::2,2,2015
Clinical neurology and neurosurgery (Dutch-Flemish ed. Print),volume::clinical neurology and neurosurgery (dutch-flemish ed. print)::2024::11,11,2024
arXiv.org,volume::arxiv.org::2025::1,1,2025
International Web Rule Symposium,volume::international web rule symposium::2007::12,12,2007
Data Management in Grids,volume::data management in grids::2005::19,19,2005
medRxiv,volume::medrxiv::2025::3,3,2025
International Conference on Peer-to-Peer Computing,volume::international conference on peer-to-peer computing::2006::13,13,2006
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2010::13,13,2010
World wide web (Bussum),volume::world wide web (bussum)::2017::7,7,2017
Algorithmica,volume::algorithmica::2013::3,3,2013
International Conference on Conceptual Modeling,volume::international conference on conceptual modeling::2017::8,8,2017
Journal of Clinical Oncology,volume::journal of clinical oncology::2025::10,10,2025
Orthopaedic Journal of Sports Medicine,volume::orthopaedic journal of sports medicine::2020::4,4,2020
International Conference on Ubiquitous Intelligence and Computing,volume::international conference on ubiquitous intelligence and computing::2006::10,10,2006
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2021::12,12,2021
International Journal of Information Security,volume::international journal of information security::2020::9,9,2020
International Journal of Information and Communication Technology,volume::international journal of information and communication technology::2016::2,2,2016
IEEE Access,volume::ieee access::2017::6,6,2017
International Conference on Database Systems for Advanced Applications,volume::international conference on database systems for advanced applications::2010::3,3,2010
International Conference on Database and Expert Systems Applications,volume::international conference on database and expert systems applications::2010::4,4,2010
ACM-SIAM Symposium on Discrete Algorithms,volume::acm-siam symposium on discrete algorithms::2011::17,17,2011
Education and Information Technologies : Official Journal of the IFIP technical committee on Education,volume::education and information technologies : official journal of the ifip technical committee on education::2024::8,8,2024
Journal of nematology,volume::journal of nematology::2016::6,6,2016
Journal of Computer Science,volume::journal of computer science::2014::17,17,2014
BMC Bioinformatics,volume::bmc bioinformatics::2005::5,5,2005
General Reanimatology,volume::general reanimatology::2024::4,4,2024
Journal of Medical Screening,volume::journal of medical screening::2023::12,12,2023
Advances in Mobile Multimedia,volume::advances in mobile multimedia::2011::20,20,2011
2007 IEEE/RSJ International Conference on Intelligent Robots and Systems,volume::2007 ieee/rsj international conference on intelligent robots and systems::2007::12,12,2007
Nucleic Acids Research,volume::nucleic acids research::2025::5,5,2025
JACC: Cardiovascular Interventions,volume::jacc: cardiovascular interventions::2020::18,18,2020
Protein Science,volume::protein science::2006::9,9,2006
IEEE Transactions on Knowledge and Data Engineering,volume::ieee transactions on knowledge and data engineering::2006::6,6,2006
Information and Software Technology,volume::information and software technology::2007::12,12,2007
Jerusalem Journal of Archaeology,volume::jerusalem journal of archaeology::2023::17,17,2023
European Journal of Surgical Oncology,volume::european journal of surgical oncology::2020::20,20,2020
Joint IFSA World Congress and NAFIPS Annual Meeting,volume::joint ifsa world congress and nafips annual meeting::2013::11,11,2013
International Conference on Knowledge Engineering and Ontology Development,volume::international conference on knowledge engineering and ontology development::2010::3,3,2010
"Fachtagung ""e-Learning"" der Gesellschaft für Informatik","volume::fachtagung ""e-learning"" der gesellschaft für informatik::2024::12",12,2024
AAAI Conference on Artificial Intelligence,volume::aaai conference on artificial intelligence::2024::19,19,2024
AAAI Conference on Artificial Intelligence,volume::aaai conference on artificial intelligence::2011::7,7,2011
Systematic Biology,volume::systematic biology::2007::1,1,2007
ACM/SIGCOMM Internet Measurement Conference,volume::acm/sigcomm internet measurement conference::2015::19,19,2015
IEEE International Conference on Data Engineering,volume::ieee international conference on data engineering::2005::13,13,2005
IEEE International Conference on e-Business Engineering,volume::ieee international conference on e-business engineering::2021::4,4,2021
International Conference on the Theory of Information Retrieval,volume::international conference on the theory of information retrieval::2023::7,7,2023
International Conference on Information Integration and Web-based Applications & Services,volume::international conference on information integration and web-based applications & services::2017::18,18,2017
Pacific Rim Conference on Multimedia,volume::pacific rim conference on multimedia::2018::16,16,2018
iScience,volume::iscience::2024::16,16,2024
Science and Transport Progress,volume::science and transport progress::2024::7,7,2024
International Conference on Big Data Applications and Services,volume::international conference on big data applications and services::2015::11,11,2015
Current Topics in Medicinal Chemistry,volume::current topics in medicinal chemistry::2025::20,20,2025
IGARSS 2004. 2004 IEEE International Geoscience and Remote Sensing Symposium,volume::igarss 2004. 2004 ieee international geoscience and remote sensing symposium::2004::14,14,2004
International Conference on Information and Knowledge Management,volume::international conference on information and knowledge management::2009::8,8,2009
IEEE transactions on computers,volume::ieee transactions on computers::2025::7,7,2025
Trans. Large Scale Data Knowl. Centered Syst.,volume::trans. large scale data knowl. centered syst.::2012::11,11,2012
2014 IEEE International Conference on Distributed Computing in Sensor Systems,volume::2014 ieee international conference on distributed computing in sensor systems::2014::12,12,2014
Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques,volume::wideochirurgia i inne techniki maloinwazyjne = videosurgery and other miniinvasive techniques::2021::10,10,2021
Journal of Clinical Oncology,volume::journal of clinical oncology::2026::19,19,2026
Journal of Information Processing,volume::journal of information processing::2016::17,17,2016
Journal of Ambient Intelligence and Humanized Computing,volume::journal of ambient intelligence and humanized computing::2021::7,7,2021
arXiv.org,volume::arxiv.org::2026::3,3,2026
Journal on Data Semantics,volume::journal on data semantics::2005::14,14,2005
EClinicalMedicine,volume::eclinicalmedicine::2020::14,14,2020
Neuro-Oncology Advances,volume::neuro-oncology advances::2024::3,3,2024
International Conference on Information Technology: New Generations,volume::international conference on information technology: new generations::2007::10,10,2007
Data Science in Finance and Economics,volume::data science in finance and economics::2024::19,19,2024
Journal of Anatomy,volume::journal of anatomy::2005::9,9,2005
British Dental Journal,volume::british dental journal::2023::16,16,2023
IEEE International Conference on Data Engineering,volume::ieee international conference on data engineering::2005::11,11,2005
ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems,volume::acm sigact-sigmod-sigart symposium on principles of database systems::2015::2,2,2015
FHIES/SEHC,volume::fhies/sehc::2014::17,17,2014
BigData Congress [Services Society],volume::bigdata congress [services society]::2013::8,8,2013
ACM Symposium on Cloud Computing,volume::acm symposium on cloud computing::2011::19,19,2011
Int. J. Wirel. Inf. Networks,volume::int. j. wirel. inf. networks::2006::19,19,2006
Journal of Information Systems Engineering & Management,volume::journal of information systems engineering & management::2024::13,13,2024
Spine,volume::spine::2019::1,1,2019
International Conference on Artificial Intelligence and Law,volume::international conference on artificial intelligence and law::2025::13,13,2025
Journal of automated reasoning,volume::journal of automated reasoning::2020::7,7,2020
International Conference on Data Warehousing and Knowledge Discovery,volume::international conference on data warehousing and knowledge discovery::2015::4,4,2015
"International Multi-Conference on Systems, Signals & Devices","volume::international multi-conference on systems, signals & devices::1997::11",11,1997
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2016::3,3,2016
BigData Congress [Services Society],volume::bigdata congress [services society]::2018::12,12,2018
Clinical neurology and neurosurgery (Dutch-Flemish ed. Print),volume::clinical neurology and neurosurgery (dutch-flemish ed. print)::2024::19,19,2024
"International Conference on Identity, Security and Behavior Analysis","volume::international conference on identity, security and behavior analysis::2017::1",1,2017
Omics,volume::omics::2006::16,16,2006
SIGMOD Conference,volume::sigmod conference::2014::13,13,2014
Telecommunications Systems,volume::telecommunications systems::2007::19,19,2007
The VLDB journal,volume::the vldb journal::2013::2,2,2013
Information Processing Letters,volume::information processing letters::1996::1,1,1996
ACM Symposium on Applied Computing,volume::acm symposium on applied computing::2004::2,2,2004
Cochrane Database of Systematic Reviews,volume::cochrane database of systematic reviews::2011::3,3,2011
2008 Latin American Web Conference,volume::2008 latin american web conference::2008::10,10,2008
International Conference of Distributed Computing and Networking,volume::international conference of distributed computing and networking::2020::19,19,2020
The spine journal,volume::the spine journal::2019::20,20,2019
BMC Gastroenterology,volume::bmc gastroenterology::2022::20,20,2022
International Conference on Enterprise Information Systems,volume::international conference on enterprise information systems::2015::8,8,2015
Nucleic Acids Research,volume::nucleic acids research::2005::13,13,2005
European Radiology,volume::european radiology::2023::20,20,2023
Proceedings of the VLDB Endowment,volume::proceedings of the vldb endowment::2024::19,19,2024
"2020 International Conferences on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)","volume::2020 international conferences on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata) and ieee congress on cybermatics (cybermatics)::2020::20",20,2020
J. Comput. Biol.,volume::j. comput. biol.::1995::15,15,1995
IEEE Intelligent Vehicles Symposium,volume::ieee intelligent vehicles symposium::2010::14,14,2010
Wireless personal communications,volume::wireless personal communications::2020::8,8,2020
International Conference on Multimedia Retrieval,volume::international conference on multimedia retrieval::2024::4,4,2024
European Conference on Information Retrieval,volume::european conference on information retrieval::2008::6,6,2008
International Conference on Language Resources and Evaluation,volume::international conference on language resources and evaluation::2024::14,14,2024
International Conference on Climate Informatics,volume::international conference on climate informatics::2020::18,18,2020
Scientific Data,volume::scientific data::2021::13,13,2021
Future generations computer systems,volume::future generations computer systems::2017::15,15,2017
Nucleic Acids Res.,volume::nucleic acids res.::2015::4,4,2015
IEEE Access,volume::ieee access::2019::10,10,2019
Operative Neurosurgery,volume::operative neurosurgery::2018::9,9,2018
Computer graphics forum (Print),volume::computer graphics forum (print)::2002::19,19,2002
Annals of Thoracic Surgery,volume::annals of thoracic surgery::2017::8,8,2017
International Symposium on Spatial and Temporal Databases,volume::international symposium on spatial and temporal databases::2001::12,12,2001
Cartographica,volume::cartographica::2004::5,5,2004
American Journal of Medicine,volume::american journal of medicine::2015::1,1,2015
Advances in Distributed Computing and Artificial Intelligence Journal,volume::advances in distributed computing and artificial intelligence journal::2024::16,16,2024
International Journal of Innovative Research in Advanced Engineering,volume::international journal of innovative research in advanced engineering::2025::13,13,2025
