city,editionId,name,year
Singapore,edition::2026 5th international informatics and software engineering conference (iisec)::2026,2026 5th International Informatics and Software Engineering Conference (IISEC),2026
London,edition::wireless communications and mobile computing::2022,Wireless Communications and Mobile Computing,2022
Sydney,edition::pharmacoeconomics & outcomes news::2017,PharmacoEconomics & outcomes news,2017
Berlin,edition::malaysian journal of learning & instruction::2022,Malaysian journal of learning & instruction,2022
New York,edition::international conference on crowd science and engineering::2014,International Conference on Crowd Science and Engineering,2014
Singapore,edition::2010 ieee international conference on bioinformatics and biomedicine workshops (bibmw)::2010,2010 IEEE International Conference on Bioinformatics and Biomedicine Workshops (BIBMW),2010
Barcelona,edition::matec web of conferences::2019,MATEC Web of Conferences,2019
Singapore,"edition::proceedings of the 2nd international conference on economy, management and entrepreneurship (icoeme 2019)::2019","Proceedings of the 2nd International Conference on Economy, Management and Entrepreneurship (ICOEME 2019)",2019
London,edition::aiaa aviation 2022 forum::2022,AIAA AVIATION 2022 Forum,2022
London,"edition::proceedings of the 2nd international conference on mathematical statistics and economic analysis, msea 2023, may 26–28, 2023, nanjing, china::2023","Proceedings of the 2nd International Conference on Mathematical Statistics and Economic Analysis, MSEA 2023, May 26–28, 2023, Nanjing, China",2023
Berlin,edition::circulo de linguistica aplicada a la comunicacion::2020,CIRCULO de linguistica aplicada a la comunicacion,2020
Berlin,edition::other conferences::2024,Other Conferences,2024
London,"edition::2023 international conference on network, multimedia and information technology (nmitcon)::2023","2023 International Conference on Network, Multimedia and Information Technology (NMITCON)",2023
Berlin,edition::australian journal of agricultural and resource economics::2022,Australian Journal of Agricultural and Resource Economics,2022
Singapore,edition::other conferences::2023,Other Conferences,2023
Tokyo,edition::computational continuum mechanics::2020,Computational Continuum Mechanics,2020
Singapore,edition::third international workshop on hardware/software codesign::1994,Third International Workshop on Hardware/Software Codesign,1994
London,edition::2006 international telecommunications symposium::2006,2006 International Telecommunications Symposium,2006
Singapore,edition::ieee international workshop on multimedia signal processing::2014,IEEE International Workshop on Multimedia Signal Processing,2014
Sydney,edition::medrxiv::2021,medRxiv,2021
Barcelona,edition::machines::2023,Machines,2023
Paris,edition::2009 first workshop on hyperspectral image and signal processing: evolution in remote sensing::2009,2009 First Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,2009
London,edition::bmc neuroscience::2013,BMC Neuroscience,2013
New York,edition::journal of the geological society of india::2014,Journal of the Geological Society of India,2014
Paris,"edition::proceedings of the 3rd international conference on public administration and governance, icopag 2024, 30 october 2024, malang, indonesia::2025","Proceedings of the 3rd International Conference on Public Administration and Governance, ICOPAG 2024, 30 October 2024, Malang, Indonesia",2025
Tokyo,edition::earth system science data::2018,Earth System Science Data,2018
Barcelona,edition::dharmas education journal (de_journal)::2021,Dharmas Education Journal (DE_Journal),2021
Paris,edition::review of agricultural and applied economics::2019,Review of Agricultural and Applied Economics,2019
Tokyo,edition::journal of clinical and nursing research::2022,Journal of Clinical and Nursing Research,2022
Sydney,edition::2023 ieee/cvf conference on computer vision and pattern recognition workshops (cvprw)::2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2023
Tokyo,"edition::international journal on advanced science, engineering and information technology::2021","International Journal on Advanced Science, Engineering and Information Technology",2021
Singapore,edition::hernia::2010,Hernia,2010
Berlin,edition::inflammation::2011,Inflammation,2011
Barcelona,"edition::long island systems, applications and technology conference::2018","Long Island Systems, Applications and Technology Conference",2018
New York,edition::social science research network::2019,Social Science Research Network,2019
New York,edition::journal of sport management::2022,Journal of Sport Management,2022
Sydney,edition::frontiers in earth science::2021,Frontiers in Earth Science,2021
Singapore,"edition::emc europe 2004, international symposium on electromagnetic compatibility::2004","EMC Europe 2004, International Symposium on Electromagnetic Compatibility",2004
Singapore,edition::international journal of technology::2018,International Journal of Technology,2018
Berlin,"edition::2025 3rd international conference on iot, communication and automation technology (icicat)::2025","2025 3rd International Conference on IoT, Communication and Automation Technology (ICICAT)",2025
London,edition::water::2022,Water,2022
Sydney,edition::mathematical methods of statistics::2013,Mathematical Methods of Statistics,2013
Paris,edition::ecoscience::2018,Ecoscience,2018
Barcelona,edition::jurnal basis::2019,JURNAL BASIS,2019
Berlin,edition::public organization review::2020,Public Organization Review,2020
Tokyo,edition::2023 international conference on self sustainable artificial intelligence systems (icssas)::2023,2023 International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),2023
London,edition::2024 ieee international conference on communications workshops (icc workshops)::2024,2024 IEEE International Conference on Communications Workshops (ICC Workshops),2024
Tokyo,"edition::environment, development and sustainability::2020","Environment, Development and Sustainability",2020
Berlin,edition::proceedings of the royal society a::2008,Proceedings of the Royal Society A,2008
Sydney,edition::2019 international conference on intelligent informatics and biomedical sciences (iciibms)::2019,2019 International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS),2019
Sydney,edition::international workshop on complex networks & their applications::2020,International Workshop on Complex Networks & Their Applications,2020
New York,edition::journal of economic inequality::2017,Journal of Economic Inequality,2017
Barcelona,edition::journal of cardiac failure::2019,Journal of Cardiac Failure,2019
Berlin,edition::ieee international geoscience and remote sensing symposium::2025,IEEE International Geoscience and Remote Sensing Symposium,2025
Berlin,edition::oceans 2019 mts/ieee seattle::2019,OCEANS 2019 MTS/IEEE SEATTLE,2019
New York,edition::journal of investigative dermatology::2018,Journal of Investigative Dermatology,2018
Tokyo,"edition::international conference on remote sensing, environment and transportation engineering::2011","International Conference on Remote Sensing, Environment and Transportation Engineering",2011
Sydney,edition::iop conference series: earth and environment::2018,IOP Conference Series: Earth and Environment,2018
Sydney,edition::journal of solution chemistry::2022,Journal of Solution Chemistry,2022
Tokyo,edition::journal of coastal research::2018,Journal of Coastal Research,2018
Barcelona,edition::nature clinical practice gastroenterology &hepatology::2008,Nature Clinical Practice Gastroenterology &Hepatology,2008
Berlin,"edition::international conference on networking, sensing and control::2009","International Conference on Networking, Sensing and Control",2009
New York,edition::international symposium on applied machine intelligence and informatics::2021,International Symposium on Applied Machine Intelligence and Informatics,2021
London,edition::atmospheric and ocean optics::2021,Atmospheric and Ocean Optics,2021
Sydney,edition::ieee international conference on mobile adhoc and sensor systems::2023,IEEE International Conference on Mobile Adhoc and Sensor Systems,2023
Tokyo,edition::journal of physics d: applied physics::2018,Journal of Physics D: Applied Physics,2018
Berlin,edition::agricultural economics (zemědělská ekonomika)::2018,Agricultural Economics (Zemědělská ekonomika),2018
Berlin,edition::applied physics a::2016,Applied Physics A,2016
Barcelona,edition::spie optics + photonics::2006,SPIE Optics + Photonics,2006
New York,edition::2019 asee zone i conference &amp; workshop proceedings::2019,2019 ASEE Zone I Conference &amp; Workshop Proceedings,2019
Paris,edition::cartography and geographic information science::2022,Cartography and Geographic Information Science,2022
Singapore,edition::jurnal unitek::2022,JURNAL UNITEK,2022
Sydney,edition::parent training for disruptive behavior::2018,Parent Training for Disruptive Behavior,2018
Tokyo,edition::conference proceedings::2019,Conference proceedings,2019
New York,edition::journal of the indonesian society of integrated chemistry::2019,Journal of The Indonesian Society of Integrated Chemistry,2019
Sydney,edition::food security::2019,Food Security,2019
Tokyo,edition::journal of advertising research::2018,Journal of Advertising Research,2018
Sydney,edition::regional geology reviews::2019,Regional Geology Reviews,2019
Paris,"edition::ubiquitous computing, electronics & mobile communication conference::2025","Ubiquitous Computing, Electronics & Mobile Communication Conference",2025
Singapore,edition::ekonomika a spoločnosť::2022,Ekonomika a spoločnosť,2022
Singapore,edition::turkish journal of agriculture - food science and technology::2021,Turkish Journal of Agriculture - Food Science and Technology,2021
Sydney,edition::workshop on cognitive aspects of the lexicon::2024,Workshop on Cognitive Aspects of the Lexicon,2024
Singapore,edition::geophysics::2018,Geophysics,2018
Berlin,edition::loughborough antennas and propagation conference::2010,Loughborough Antennas and Propagation Conference,2010
Singapore,edition::medical mycology::2022,Medical Mycology,2022
Singapore,edition::international journal of geotechnical engineering::2019,International Journal of Geotechnical Engineering,2019
Singapore,edition::2022 ieee nigeria 4th international conference on disruptive technologies for sustainable development (nigercon)::2022,2022 IEEE Nigeria 4th International Conference on Disruptive Technologies for Sustainable Development (NIGERCON),2022
Tokyo,edition::proceedings of the 30th international conference on computer graphics and machine vision (graphicon 2020). part 2::2020,Proceedings of the 30th International Conference on Computer Graphics and Machine Vision (GraphiCon 2020). Part 2,2020
Singapore,edition::mineralogical magazine::1979,Mineralogical magazine,1979
Paris,edition::international middle east power systems conference::2016,International Middle East Power Systems Conference,2016
Tokyo,edition::qualitative research in financial markets::2022,Qualitative Research in Financial Markets,2022
Tokyo,edition::[1990] proceedings. the twenty-second southeastern symposium on system theory::1990,[1990] Proceedings. The Twenty-Second Southeastern Symposium on System Theory,1990
Tokyo,edition::engineering and technology journal::2022,Engineering and Technology Journal,2022
Tokyo,edition::asia communications and photonics conference and exhibition::2009,Asia Communications and Photonics conference and Exhibition,2009
Berlin,edition::2023 ieee 4th china international youth conference on electrical engineering (ciycee)::2023,2023 IEEE 4th China International Youth Conference On Electrical Engineering (CIYCEE),2023
Tokyo,edition::journal of immunology::2015,Journal of Immunology,2015
Singapore,edition::chemické zvesti::2016,Chemické zvesti,2016
Sydney,edition::indonesian journal of agricultural research::2021,Indonesian Journal of Agricultural Research,2021
Paris,edition::journal of applied statistics::2019,Journal of Applied Statistics,2019
Singapore,edition::journal of geophysical research: atmospheres::2018,Journal of Geophysical Research: Atmospheres,2018
London,edition::proceedings of 2011 6th international forum on strategic technology::2011,Proceedings of 2011 6th International Forum on Strategic Technology,2011
London,edition::analytical chemistry::2002,Analytical Chemistry,2002
Tokyo,edition::linguistics and culture review::2021,Linguistics and Culture Review,2021
Tokyo,edition::2010 11th specialist meeting on microwave radiometry and remote sensing of the environment::2010,2010 11th Specialist Meeting on Microwave Radiometry and Remote Sensing of the Environment,2010
Tokyo,edition::clinical phytoscience::2022,Clinical Phytoscience,2022
Barcelona,edition::2025 international conference on sustainable communication networks and application (icscn)::2025,2025 International Conference on Sustainable Communication Networks and Application (ICSCN),2025
Singapore,edition::feminist economics::2022,Feminist Economics,2022
Paris,edition::international journal of health sciences::2021,International Journal of Health Sciences,2021
Sydney,edition::earthquake engineering and engineering vibration::2019,Earthquake Engineering and Engineering Vibration,2019
Singapore,edition::inflammatory bowel diseases::2010,Inflammatory Bowel Diseases,2010
Sydney,edition::international journal of agricultural economics::2020,International Journal of Agricultural Economics,2020
London,edition::cancer research::2022,Cancer Research,2022
London,edition::jurnal paedagogy::2021,Jurnal Paedagogy,2021
New York,edition::sustainability::2022,Sustainability,2022
Singapore,edition::conference on lasers and electro-optics::2002,Conference on Lasers and Electro-Optics,2002
Berlin,edition::american journal of epidemiology::2009,American Journal of Epidemiology,2009
Paris,edition::medrxiv::2024,medRxiv,2024
Berlin,edition::volume 2: advanced manufacturing::2025,Volume 2: Advanced Manufacturing,2025
Tokyo,edition::2025 ieee international conference on advanced systems and emergent technologies (ic_aset)::2025,2025 IEEE International Conference on Advanced Systems and Emergent Technologies (IC_ASET),2025
Paris,edition::letters in spatial and resource sciences::2022,Letters in spatial and resource sciences,2022
Singapore,edition::proceedings of 23rd scientific conference “scientific services & internet – 2021”::2021,Proceedings of 23rd Scientific Conference “Scientific Services & Internet – 2021”,2021
Singapore,edition::2006 2nd international conference on information & communication technologies::2006,2006 2nd International Conference on Information & Communication Technologies,2006
London,edition::journal of immunology::2011,Journal of Immunology,2011
Berlin,edition::efsa supporting publications::2019,EFSA Supporting Publications,2019
London,edition::international conference on power electronics and artificial intelligence::2025,International Conference on Power Electronics and Artificial Intelligence,2025
Sydney,edition::conference on designing for user experiences::2018,Conference on Designing for User eXperiences,2018
Berlin,edition::advances in data mining and database management::2018,Advances in Data Mining and Database Management,2018
Paris,edition::telemedicine journal and e-health::2022,Telemedicine journal and e-health,2022
Tokyo,edition::european annals of otorhinolaryngology head and neck diseases::2016,European Annals of Otorhinolaryngology Head and Neck Diseases,2016
Berlin,edition::chemcatchem::2020,ChemCatChem,2020
Berlin,edition::international symposium on multispectral image processing and pattern recognition::2009,International Symposium on Multispectral Image Processing and Pattern Recognition,2009
Tokyo,edition::atmospheric and ocean optics::2004,Atmospheric and Ocean Optics,2004
Barcelona,edition::journal of low temperature physics::2020,Journal of Low Temperature Physics,2020
New York,edition::international conference on contemporary computing::2025,International Conference on Contemporary Computing,2025
Singapore,edition::2024 second international conference on data science and information system (icdsis)::2024,2024 Second International Conference on Data Science and Information System (ICDSIS),2024
Sydney,edition::research technology management::2022,Research technology management,2022
Barcelona,edition::international journal for research in applied science and engineering technology::2022,International Journal for Research in Applied Science and Engineering Technology,2022
London,edition::open information science::2020,Open Information Science,2020
New York,edition::journal of applied remote sensing::2020,Journal of Applied Remote Sensing,2020
Sydney,edition::international conference on graphic and image processing::2011,International Conference on Graphic and Image Processing,2011
Singapore,edition::jurnal pendidikan teknologi dan kejuruan::2018,Jurnal Pendidikan Teknologi dan Kejuruan,2018
Paris,edition::journal of physics: conference series::2021,Journal of Physics: Conference Series,2021
Tokyo,edition::batteries::2023,Batteries,2023
Paris,edition::youth academic annual conference of chinese association of automation::2024,Youth Academic Annual Conference of Chinese Association of Automation,2024
London,edition::ra journal of applied research::2022,RA Journal Of Applied Research,2022
New York,edition::innovare journal of medical sciences::2021,Innovare Journal of Medical Sciences,2021
London,edition::2023 3rd international conference on innovative practices in technology and management (iciptm)::2023,2023 3rd International Conference on Innovative Practices in Technology and Management (ICIPTM),2023
Paris,edition::international journal of emerging trends in engineering research::2020,International Journal of Emerging Trends in Engineering Research,2020
Sydney,edition::2025 5th international conference on expert clouds and applications (icoeca)::2025,2025 5th International Conference on Expert Clouds and Applications (ICOECA),2025
Berlin,edition::quarterly journal of the royal meteorological society::2020,Quarterly Journal of the Royal Meteorological Society,2020
Singapore,edition::ieee spectrum::1978,IEEE spectrum,1978
London,edition::journal of petroleum technology::2022,Journal of Petroleum Technology,2022
New York,edition::indian journal of computer science and engineering::2021,Indian Journal of Computer Science and Engineering,2021
Singapore,edition::international journal of population data science::2018,International Journal of Population Data Science,2018
New York,edition::archives of virology::2017,Archives of Virology,2017
Barcelona,edition::microscopy and microanalysis::2018,Microscopy and Microanalysis,2018
Singapore,edition::lecture notes in electrical engineering::2018,Lecture Notes in Electrical Engineering,2018
Tokyo,edition::frontiers of chemical science and engineering::2022,Frontiers of Chemical Science and Engineering,2022
New York,edition::critical social policy::2019,Critical Social Policy,2019
Sydney,edition::2016 30th international conference on advanced information networking and applications workshops (waina)::2016,2016 30th International Conference on Advanced Information Networking and Applications Workshops (WAINA),2016
Barcelona,"edition::2022 international conference on intelligent technology, system and service for internet of everything (itss-ioe)::2022","2022 International Conference on Intelligent Technology, System and Service for Internet of Everything (ITSS-IoE)",2022
London,edition::international conference computing methodologies and communication::2020,International Conference Computing Methodologies and Communication,2020
Berlin,edition::applied sciences::2018,Applied Sciences,2018
New York,edition::the social science::2022,The social science,2022
Sydney,edition::2022 2nd international conference on electronic information technology and smart agriculture (iceitsa)::2022,2022 2nd International Conference on Electronic Information Technology and Smart Agriculture (ICEITSA),2022
Singapore,edition::international journal of humanities and social sciences::2020,International journal of humanities and social sciences,2020
Paris,edition::advances in library and information science::2021,Advances in Library and Information Science,2021
Singapore,edition::nature physics::2011,Nature Physics,2011
Singapore,edition::frontiers of engineering management::2019,Frontiers of Engineering Management,2019
Sydney,edition::international conference on information science and engineering::2019,International Conference on Information Science and Engineering,2019
Singapore,edition::intelligent and fuzzy techniques in big data analytics and decision making::2019,Intelligent and Fuzzy Techniques in Big Data Analytics and Decision Making,2019
London,edition::aeronautics and aerospace open access journal::2019,Aeronautics and Aerospace Open Access Journal,2019
Berlin,edition::sustainability::2018,Sustainability,2018
Paris,"edition::2022 smart technologies, communication and robotics (stcr)::2022","2022 Smart Technologies, Communication and Robotics (STCR)",2022
Sydney,edition::american statistician::2019,American Statistician,2019
Tokyo,edition::caml review / revue de l acbm::2001,CAML Review / Revue de l ACBM,2001
Tokyo,edition::european journal of training and development::2019,European Journal of Training and Development,2019
Tokyo,edition::2024 international conference on advances in electrical engineering and computer applications (aeeca)::2024,2024 International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),2024
Tokyo,edition::proceedings of the 2024 9th international conference on cyber security and information engineering::2024,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering,2024
Berlin,edition::the aesthetics and politics of the online self::2016,The Aesthetics and Politics of the Online Self,2016
New York,edition::advanced computing in industrial mathematics::2017,Advanced Computing in Industrial Mathematics,2017
New York,edition::physics in perspective::2016,Physics in Perspective,2016
New York,edition::live campaigns::2018,Live Campaigns,2018
Barcelona,edition::journal of transport geography::2021,Journal of Transport Geography,2021
Singapore,edition::acm cloud and autonomic computing conference::2024,ACM Cloud and Autonomic Computing Conference,2024
New York,edition::2020 international conference on educational training and educational phenomena (icetep2020)::2020,2020 International Conference on Educational Training and Educational Phenomena (ICETEP2020),2020
Sydney,edition::2019 ieee 8th international conference on advanced power system automation and protection (apap)::2019,2019 IEEE 8th International Conference on Advanced Power System Automation and Protection (APAP),2019
Singapore,edition::sustainability::2023,Sustainability,2023
Tokyo,edition::journal of animal science::2021,Journal of Animal Science,2021
Sydney,edition::journal of southern hemisphere earth systems science::2020,Journal of Southern Hemisphere Earth Systems Science,2020
Barcelona,edition::bandung conference series: statistics::2022,Bandung Conference Series: Statistics,2022
New York,"edition::proceedings of the 2022 international conference on computer science, information engineering and digital economy (csiede 2022)::2022","Proceedings of the 2022 International Conference on Computer Science, Information Engineering and Digital Economy (CSIEDE 2022)",2022
Sydney,edition::proceedings of the international conference on policies and economics measures for agricultural development (agrodeveco 2020)::2020,Proceedings of the International Conference on Policies and Economics Measures for Agricultural Development (AgroDevEco 2020),2020
Barcelona,edition::2022 2nd international conference on big data engineering and education (bdee)::2022,2022 2nd International Conference on Big Data Engineering and Education (BDEE),2022
Barcelona,edition::hydrology and earth system sciences::2020,Hydrology and Earth System Sciences,2020
Barcelona,edition::al-ishlah: jurnal pendidikan::2022,AL-ISHLAH: Jurnal Pendidikan,2022
Tokyo,edition::ieee transactions on applied superconductivity::2016,IEEE transactions on applied superconductivity,2016
London,edition::international journal of recent technology and engineering::2019,International journal of recent technology and engineering,2019
London,edition::intersections::2019,Intersections,2019
Sydney,edition::china economic review::2017,China economic review,2017
Berlin,edition::data intensive storage services for cloud environments::2013,Data Intensive Storage Services for Cloud Environments,2013
New York,edition::chinese control and decision conference::2020,Chinese Control and Decision Conference,2020
Paris,"edition::international conference on computing, communication and automation::2021","International Conference on Computing, Communication and Automation",2021
Berlin,"edition::ieee uttar pradesh section international conference on electrical, computer and electronics engineering::2022","IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics Engineering",2022
Paris,edition::ecs transactions::2022,ECS Transactions,2022
Sydney,edition::journal of computer science::2019,Journal of Computer Science,2019
Barcelona,edition::headache::2014,Headache,2014
London,edition::international journal of innovative technology and exploring engineering::2020,International Journal of Innovative Technology and Exploring Engineering,2020
Singapore,"edition::ieee symposium on business, engineering and industrial applications::2011","IEEE Symposium on Business, Engineering and Industrial Applications",2011
New York,edition::2024 ivannikov memorial workshop (ivmem)::2024,2024 Ivannikov Memorial Workshop (IVMEM),2024
Sydney,edition::international conference on electrical engineering and informatics::2017,International Conference on Electrical Engineering and Informatics,2017
Paris,edition::muhammadiyah international public health and medicine proceeding::2021,Muhammadiyah International Public Health and Medicine Proceeding,2021
Barcelona,edition::engineering headway::2026,Engineering Headway,2026
Tokyo,edition::aina workshops::2019,AINA Workshops,2019
Singapore,edition::jurnal ilmiah teunuleh::2021,Jurnal Ilmiah Teunuleh,2021
Tokyo,edition::2023 international conference on artificial intelligence for innovations in healthcare industries (icaiihi)::2023,2023 International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),2023
Tokyo,"edition::proceedings of the proceedings of 1st workshop on environmental science, society, and technology, westech 2018, december 8th, 2018, medan, indonesia::2019","Proceedings of the Proceedings of 1st Workshop on Environmental Science, Society, and Technology, WESTECH 2018, December 8th, 2018, Medan, Indonesia",2019
Sydney,edition::2021 international conference on big data analysis and computer science (bdacs)::2021,2021 International Conference on Big Data Analysis and Computer Science (BDACS),2021
Paris,edition::2020 6th international conference on big data and information analytics (bigdia)::2020,2020 6th International Conference on Big Data and Information Analytics (BigDIA),2020
Paris,edition::ieee conference on industrial electronics and applications::2007,IEEE Conference on Industrial Electronics and Applications,2007
Singapore,edition::sirius - zeitschrift für strategische analysen::2022,SIRIUS - Zeitschrift für Strategische Analysen,2022
Barcelona,edition::grenek music journal::2018,Grenek Music Journal,2018
New York,edition::synthesis lectures on communications::2012,Synthesis Lectures on Communications,2012
Berlin,edition::international journal of electrical and computer engineering (ijece)::2021,International Journal of Electrical and Computer Engineering (IJECE),2021
Paris,edition::social science research network::2014,Social Science Research Network,2014
Tokyo,edition::anais do brazilian e-science workshop (bresci)::2018,Anais do Brazilian e-Science Workshop (BreSci),2018
Paris,edition::tecciencia::2020,TECCIENCIA,2020
New York,edition::international conference civil engineering and architecture::2024,International Conference Civil Engineering and Architecture,2024
Singapore,edition::2022 moscow workshop on electronic and networking technologies (mwent)::2022,2022 Moscow Workshop on Electronic and Networking Technologies (MWENT),2022
London,"edition::2018 international conference on information , communication, engineering and technology (icicet)::2018","2018 International Conference on Information , Communication, Engineering and Technology (ICICET)",2018
Tokyo,edition::smart::2016,SMART,2016
New York,edition::international journal of emerging trends in social sciences::2019,International Journal of Emerging Trends in Social Sciences,2019
Barcelona,edition::conference on industrial electronics and applications::2021,Conference on Industrial Electronics and Applications,2021
Tokyo,edition::applied sciences::2019,Applied Sciences,2019
Sydney,"edition::international conference on intelligent transportation, big data and smart city::2019","International Conference on Intelligent Transportation, Big Data and Smart City",2019
Tokyo,edition::2022 international conference on artificial intelligence and autonomous robot systems (aiars)::2022,2022 International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),2022
Sydney,edition::international conferences on innovation in artificial intelligence::2018,International Conferences on Innovation in Artificial Intelligence,2018
Paris,edition::advances in building energy research::2020,Advances in Building Energy Research,2020
Barcelona,"edition::international symposium on robotics, artificial intelligence, and information engineering::2022","International Symposium on Robotics, Artificial Intelligence, and Information Engineering",2022
Barcelona,edition::genome biology::2019,Genome Biology,2019
Paris,edition::other conferences::2021,Other Conferences,2021
Singapore,edition::encyclopedia of big data technologies::2019,Encyclopedia of Big Data Technologies,2019
Sydney,edition::elipsoida::2018,Elipsoida,2018
Tokyo,edition::ieee joint international information technology and artificial intelligence conference::2019,IEEE Joint International Information Technology and Artificial Intelligence Conference,2019
Tokyo,edition::the journal of environmental education::2021,The Journal of Environmental Education,2021
Singapore,edition::advances in intelligent systems and computing::2018,Advances in Intelligent Systems and Computing,2018
Barcelona,edition::big earth data::2022,Big Earth Data,2022
Barcelona,"edition::2018 eleventh international conference ""management of large-scale system development"" (mlsd::2018","2018 Eleventh International Conference ""Management of large-scale system development"" (MLSD",2018
Singapore,edition::vidya karya::2018,Vidya Karya,2018
Sydney,edition::iop conference series: earth and environment::2020,IOP Conference Series: Earth and Environment,2020
Tokyo,edition::journal of it cases and applications::2021,Journal of IT Cases and Applications,2021
Tokyo,"edition::proceedings of the 2020 4th international seminar on education, management and social sciences (isemss 2020)::2020","Proceedings of the 2020 4th International Seminar on Education, Management and Social Sciences (ISEMSS 2020)",2020
London,edition::sae technical paper series::2024,SAE technical paper series,2024
London,edition::competition commission of india journal on competition law and policy::2022,Competition Commission of India Journal on Competition Law and Policy,2022
London,edition::revista eletrônica da educação::2021,Revista Eletrônica da Educação,2021
Berlin,edition::solar physics::2013,Solar Physics,2013
Barcelona,edition::journal of engineering for gas turbines and power::2019,Journal of Engineering For Gas Turbines and Power,2019
London,edition::medical imaging::2000,Medical Imaging,2000
Paris,edition::physiological zoology::1937,Physiological Zoology,1937
Tokyo,edition::i-manager's journal on computer science::2021,i-manager's Journal on Computer Science,2021
New York,edition::international conference on information control systems & technologies::2018,International Conference on Information Control Systems & Technologies,2018
Berlin,edition::ieee transactions on industrial informatics::2021,IEEE Transactions on Industrial Informatics,2021
Sydney,edition::discover food::2024,Discover Food,2024
Barcelona,edition::international workshop on signal processing advances in wireless communications::2023,International Workshop on Signal Processing Advances in Wireless Communications,2023
London,"edition::convergence of blockchain, ai, and iot::2021","Convergence of Blockchain, AI, and IoT",2021
New York,edition::international conference on big data computing service and applications::2022,International Conference on Big Data Computing Service and Applications,2022
London,edition::2015 ieee international conference on data mining workshop (icdmw)::2015,2015 IEEE International Conference on Data Mining Workshop (ICDMW),2015
Singapore,edition::philosophical literary journal logos::2022,Philosophical Literary Journal Logos,2022
Sydney,edition::inovasi manajemen dan kebijakan publik::2020,Inovasi Manajemen dan Kebijakan Publik,2020
Singapore,edition::crime prevention and justice in 2030::2020,Crime Prevention and Justice in 2030,2020
London,"edition::2019 ieee 3rd information technology, networking, electronic and automation control conference (itnec)::2019","2019 IEEE 3rd Information Technology, Networking, Electronic and Automation Control Conference (ITNEC)",2019
Singapore,edition::saudi journal of business and management studies::2019,Saudi Journal of Business and Management Studies,2019
London,edition::international journal of innovative technology and exploring engineering::2019,International Journal of Innovative Technology and Exploring Engineering,2019
Singapore,edition::the teacher of the future::2019,The teacher of the future,2019
Barcelona,edition::jom::2023,JOM,2023
Tokyo,edition::2021 international conference on electronic information engineering and computer science (eiecs)::2021,2021 International Conference on Electronic Information Engineering and Computer Science (EIECS),2021
Berlin,edition::proceedings of the 2019 international spbpu scientific conference on innovations in digital economy::2019,Proceedings of the 2019 International SPBPU Scientific Conference on Innovations in Digital Economy,2019
Sydney,"edition::2023 2nd international conference on cloud computing, big data application and software engineering (cbase)::2023","2023 2nd International Conference on Cloud Computing, Big Data Application and Software Engineering (CBASE)",2023
Barcelona,"edition::2023 third international conference on advances in electrical, computing, communication and sustainable technologies (icaect)::2023","2023 Third International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT)",2023
Paris,edition::pediatric hematology & oncology::2011,Pediatric Hematology & Oncology,2011
Sydney,edition::health science inquiry::2019,Health Science Inquiry,2019
Sydney,edition::2014 ieee symposium on computer applications and communications::2014,2014 IEEE Symposium on Computer Applications and Communications,2014
London,edition::smart structures and materials + nondestructive evaluation and health monitoring::2023,Smart Structures and Materials + Nondestructive Evaluation and Health Monitoring,2023
Singapore,edition::2025 international conference on knowledge engineering and communication systems (ickecs)::2025,2025 International Conference on Knowledge Engineering and Communication Systems (ICKECS),2025
Paris,edition::2025 international conference on emerging trends in networks and computer communications (etncc)::2025,2025 International Conference on Emerging Trends in Networks and Computer Communications (ETNCC),2025
New York,edition::مجلة الجمعیة المصریة لنظم المعلومات وتکنولوجیا الحاسبات::2021,مجلة الجمعیة المصریة لنظم المعلومات وتکنولوجیا الحاسبات,2021
Sydney,edition::digital technologies and applications::2021,Digital Technologies and Applications,2021
Paris,edition::visión electrónica::2019,Visión electrónica,2019
Sydney,edition::advances in civil and industrial engineering::2019,Advances in Civil and Industrial Engineering,2019
Paris,edition::2016 ieee/acm 2nd international workshop on big data software engineering (bigdse)::2016,2016 IEEE/ACM 2nd International Workshop on Big Data Software Engineering (BIGDSE),2016
Singapore,edition::international conference on applications and techniques in cyber intelligence::2021,International Conference on Applications and Techniques in Cyber Intelligence,2021
Sydney,"edition::saturday, 16 june 2018::2018","Saturday, 16 JUNE 2018",2018
Sydney,edition::vnu journal of science computer science and communication engineering::2021,VNU Journal of Science Computer Science and Communication Engineering,2021
Paris,edition::ieee pes asia-pacific power and energy engineering conference::2014,IEEE PES Asia-Pacific Power and Energy Engineering Conference,2014
Barcelona,edition::high-performance modelling and simulation for big data applications::2019,High-Performance Modelling and Simulation for Big Data Applications,2019
New York,edition::international journal of information technology and computer science::2019,International Journal of Information Technology and Computer Science,2019
