from,to
journal::journal of women's health,volume::journal of women's health::2011::10
journal::the web conference,volume::the web conference::2024::14
journal::journal of medical internet research,volume::journal of medical internet research::2023::13
journal::knowledge discovery and data mining,volume::knowledge discovery and data mining::2023::6
journal::foundations and trends® in theoretical computer science,volume::foundations and trends® in theoretical computer science::2014::19
journal::neural information processing systems,volume::neural information processing systems::2023::18
journal::international conferences on biological information and biomedical engineering,volume::international conferences on biological information and biomedical engineering::2010::9
journal::international conference on computers for handicapped persons,volume::international conference on computers for handicapped persons::2020::2
journal::scientific reports,volume::scientific reports::2024::2
journal::aaps journal,volume::aaps journal::2010::13
journal::international conference on database theory,volume::international conference on database theory::2007::16
journal::british journal of dermatology,volume::british journal of dermatology::2018::6
journal::journal of contemporary studies in library and information science,volume::journal of contemporary studies in library and information science::2023::14
journal::surgical endoscopy,volume::surgical endoscopy::2024::1
journal::international conference on conceptual structures,volume::international conference on conceptual structures::2007::14
journal::discrete & computational geometry,volume::discrete & computational geometry::1987::17
journal::ieee communications magazine,volume::ieee communications magazine::2014::4
journal::scientific programming,volume::scientific programming::2020::20
journal::apl conference,volume::apl conference::1979::8
journal::genome research,volume::genome research::2003::7
journal::biorxiv,volume::biorxiv::2023::2
journal::ieee transactions on visualization and computer graphics,volume::ieee transactions on visualization and computer graphics::2009::19
journal::journal of shoulder and elbow surgery,volume::journal of shoulder and elbow surgery::2021::14
journal::time,volume::time::2019::4
journal::clinical cancer research,volume::clinical cancer research::2020::8
journal::conference on innovative data systems research,volume::conference on innovative data systems research::2025::6
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2014::9
journal::british national conference on databases,volume::british national conference on databases::1996::17
journal::multimedia '99,volume::multimedia '99::1999::19
journal::annual international acm sigir conference on research and development in information retrieval,volume::annual international acm sigir conference on research and development in information retrieval::1993::3
journal::expert systems with applications,volume::expert systems with applications::2024::16
journal::international conference on database theory,volume::international conference on database theory::2020::16
journal::international conference on model-driven engineering and software development,volume::international conference on model-driven engineering and software development::2022::10
journal::arxiv.org,volume::arxiv.org::2025::12
journal::biorxiv,volume::biorxiv::2021::8
journal::molecular ecology resources,volume::molecular ecology resources::2024::6
journal::italian national conference on sensors,volume::italian national conference on sensors::2022::11
journal::distributed and parallel databases,volume::distributed and parallel databases::2013::9
journal::tods,volume::tods::2007::17
journal::journal of information processing,volume::journal of information processing::2014::19
journal::voprosy ekonomiki,volume::voprosy ekonomiki::2024::18
journal::int. j. artif. intell. tools,volume::int. j. artif. intell. tools::2006::18
journal::international conference on information and knowledge management,volume::international conference on information and knowledge management::2006::4
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2010::8
journal::genetics in medicine,volume::genetics in medicine::2021::10
journal::ieee international conference on data engineering,volume::ieee international conference on data engineering::2018::10
journal::concurrency and computation,volume::concurrency and computation::2021::1
journal::intelligent systems in molecular biology,volume::intelligent systems in molecular biology::1998::17
journal::acm multimedia,volume::acm multimedia::2010::11
journal::arxiv.org,volume::arxiv.org::2025::6
journal::blood,volume::blood::2023::9
journal::international conference on statistical and scientific database management,volume::international conference on statistical and scientific database management::2008::9
journal::bmc geriatrics,volume::bmc geriatrics::2025::10
journal::ieee transactions on dependable and secure computing,volume::ieee transactions on dependable and secure computing::2022::5
journal::international conference on information and knowledge management,volume::international conference on information and knowledge management::2020::1
journal::human reproduction open,volume::human reproduction open::2025::12
journal::data & knowledge engineering,volume::data & knowledge engineering::1994::4
journal::international conference on knowledge discovery and information retrieval,volume::international conference on knowledge discovery and information retrieval::2016::13
journal::english language teaching,volume::english language teaching::2023::4
journal::acm sigact-sigmod-sigart symposium on principles of database systems,volume::acm sigact-sigmod-sigart symposium on principles of database systems::2004::12
journal::tods,volume::tods::2003::16
journal::annual srii global conference,volume::annual srii global conference::2012::20
journal::avocetta,volume::avocetta::2024::12
journal::karst science days symposium proceedings,volume::karst science days symposium proceedings::2025::2
journal::sigmod conference,volume::sigmod conference::2006::9
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2023::16
journal::international journal for research in applied science and engineering technology,volume::international journal for research in applied science and engineering technology::2025::7
journal::italian national conference on sensors,volume::italian national conference on sensors::2021::1
"journal::protein engineering, design & selection : peds","volume::protein engineering, design & selection : peds::2007::2"
journal::international symposium on computers and communications,volume::international symposium on computers and communications::2020::16
journal::joint international conference of semantic technology,volume::joint international conference of semantic technology::2018::13
journal::journal of indo-pacific archaeology,volume::journal of indo-pacific archaeology::2020::4
"journal::sbv journal of basic, clinical and applied health science","volume::sbv journal of basic, clinical and applied health science::2024::7"
journal::medical informatics europe,volume::medical informatics europe::2022::10
journal::bioinform.,volume::bioinform.::2019::20
journal::international journal of intelligent information and database systems,volume::international journal of intelligent information and database systems::2008::3
journal::international conference on information processing and management of uncertainty,volume::international conference on information processing and management of uncertainty::2014::18
journal::annual international acm sigir conference on research and development in information retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2012::12
journal::information processing & management,volume::information processing & management::1985::9
journal::international conference on geoinformatics and data analysis,volume::international conference on geoinformatics and data analysis::2023::13
journal::ieee infocom 2016 - the 35th annual ieee international conference on computer communications,volume::ieee infocom 2016 - the 35th annual ieee international conference on computer communications::2016::16
journal::journal of trauma and acute care surgery,volume::journal of trauma and acute care surgery::2024::2
journal::omics,volume::omics::2003::10
journal::sigmod conference,volume::sigmod conference::1999::14
"journal::2007 ieee international conference on research, innovation and vision for the future","volume::2007 ieee international conference on research, innovation and vision for the future::2007::5"
journal::bioinform.,volume::bioinform.::2007::16
journal::medical physics (lancaster),volume::medical physics (lancaster)::2012::8
journal::lsc@icmr,volume::lsc@icmr::2024::18
journal::iberian conference on pattern recognition and image analysis,volume::iberian conference on pattern recognition and image analysis::2011::6
journal::2007 ieee symposium on visual analytics science and technology,volume::2007 ieee symposium on visual analytics science and technology::2007::10
journal::[1992] proceedings fifth annual ieee symposium on computer-based medical systems,volume::[1992] proceedings fifth annual ieee symposium on computer-based medical systems::1992::17
journal::frontiers of computer science,volume::frontiers of computer science::2023::12
journal::cancer management and research,volume::cancer management and research::2018::5
journal::arxiv.org,volume::arxiv.org::2025::2
journal::international conference on wirtschaftsinformatik,volume::international conference on wirtschaftsinformatik::2004::6
journal::electronic commerce research and applications,volume::electronic commerce research and applications::2003::13
journal::proceedings of the nutrition society,volume::proceedings of the nutrition society::2023::14
journal::joint international conference of semantic technology,volume::joint international conference of semantic technology::2016::20
journal::theoretical aspects of software engineering,volume::theoretical aspects of software engineering::2024::6
journal::acta informatica medica : aim : journal of the society for medical informatics of bosnia & herzegovina : casopis drustva za medicinsku informatiku bih,volume::acta informatica medica : aim : journal of the society for medical informatics of bosnia & herzegovina : casopis drustva za medicinsku informatiku bih::2024::8
journal::neural networks,volume::neural networks::2023::2
journal::journal of social and organizational matters,volume::journal of social and organizational matters::2025::15
journal::ieee symposium on field-programmable custom computing machines,volume::ieee symposium on field-programmable custom computing machines::2023::5
journal::international conference on computer science and information technologies,volume::international conference on computer science and information technologies::2022::17
journal::acm-sigplan international conference on principles and practice of declarative programming,volume::acm-sigplan international conference on principles and practice of declarative programming::2010::14
journal::international conference on computer science and software engineering,volume::international conference on computer science and software engineering::2008::8
journal::european journal of endocrinology,volume::european journal of endocrinology::2020::12
journal::knowledge-based systems,volume::knowledge-based systems::2012::9
journal::arxiv.org,volume::arxiv.org::2025::15
journal::2008 the ninth international conference on web-age information management,volume::2008 the ninth international conference on web-age information management::2008::17
journal::sigmod conference,volume::sigmod conference::2009::19
journal::guidelines and standards of chinese medicine,volume::guidelines and standards of chinese medicine::2024::17
journal::2011 ieee fifth international conference on semantic computing,volume::2011 ieee fifth international conference on semantic computing::2011::17
journal::the american surgeon,volume::the american surgeon::2017::11
journal::data & knowledge engineering,volume::data & knowledge engineering::2001::10
journal::datenbank-spektrum,volume::datenbank-spektrum::2017::6
journal::journal of king saud university: computer and information sciences,volume::journal of king saud university: computer and information sciences::2016::17
journal::petra,volume::petra::2024::5
journal::arxiv.org,volume::arxiv.org::2025::8
journal::annual international acm sigir conference on research and development in information retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2013::14
journal::ieee international conference on industrial engineering and engineering management,volume::ieee international conference on industrial engineering and engineering management::2011::13
journal::brilliance research of artificial intelligence,volume::brilliance research of artificial intelligence::2025::6
journal::iacr cryptology eprint archive,volume::iacr cryptology eprint archive::2022::15
journal::journal of gastrointestinal surgery,volume::journal of gastrointestinal surgery::2015::6
journal::international conference on extending database technology,volume::international conference on extending database technology::2021::7
journal::ieee international conference on data engineering,volume::ieee international conference on data engineering::2007::18
journal::information sciences,volume::information sciences::1998::1
journal::neuroepidemiology,volume::neuroepidemiology::2024::3
journal::arxiv.org,volume::arxiv.org::2026::7
journal::communication systems and applications,volume::communication systems and applications::2006::17
journal::journal of chemical information and modeling,volume::journal of chemical information and modeling::2010::15
journal::international conference on information systems security and privacy,volume::international conference on information systems security and privacy::2018::18
journal::european conference on information retrieval,volume::european conference on information retrieval::2020::19
journal::pattern recognition,volume::pattern recognition::2023::8
journal::international conference on electronic commerce and web technologies,volume::international conference on electronic commerce and web technologies::2005::8
journal::knowledge-based systems,volume::knowledge-based systems::2025::19
journal::conference on empirical methods in natural language processing,volume::conference on empirical methods in natural language processing::2025::1
journal::ieee international conference on network protocols,volume::ieee international conference on network protocols::2018::6
journal::international journal for sciences and technology,volume::international journal for sciences and technology::2025::15
journal::eastern-european journal of enterprise technologies,volume::eastern-european journal of enterprise technologies::2024::2
journal::arxiv.org,volume::arxiv.org::2024::6
journal::indian journal of information sources and services,volume::indian journal of information sources and services::2025::11
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2025::11
journal::john vincent atanasoff symposium,volume::john vincent atanasoff symposium::2006::13
journal::acm-siam symposium on discrete algorithms,volume::acm-siam symposium on discrete algorithms::2006::9
journal::ieee pervasive computing,volume::ieee pervasive computing::2003::13
"journal::international joint conference on knowledge discovery, knowledge engineering and knowledge management","volume::international joint conference on knowledge discovery, knowledge engineering and knowledge management::2010::6"
journal::2014 ieee international conference on big data (big data),volume::2014 ieee international conference on big data (big data)::2014::19
journal::current directions in biomedical engineering,volume::current directions in biomedical engineering::2023::20
journal::electronic imaging,volume::electronic imaging::1993::8
journal::msystems,volume::msystems::2023::4
journal::ieee transactions on intelligent transportation systems (print),volume::ieee transactions on intelligent transportation systems (print)::2022::5
journal::chemical sensors,volume::chemical sensors::2019::16
journal::ieee access,volume::ieee access::2025::2
journal::the sea,volume::the sea::2014::6
journal::journal of intelligence and information systems,volume::journal of intelligence and information systems::2019::13
journal::international conference on information and knowledge management,volume::international conference on information and knowledge management::2011::18
journal::ieee transactions on instrumentation and measurement,volume::ieee transactions on instrumentation and measurement::2023::17
journal::american journal of medicine open,volume::american journal of medicine open::2023::18
journal::arxiv.org,volume::arxiv.org::2024::17
journal::acm symposium on parallelism in algorithms and architectures,volume::acm symposium on parallelism in algorithms and architectures::1993::16
"journal::2013 eighth international conference on p2p, parallel, grid, cloud and internet computing","volume::2013 eighth international conference on p2p, parallel, grid, cloud and internet computing::2013::18"
journal::international conference on database systems for advanced applications,volume::international conference on database systems for advanced applications::2007::7
journal::international web rule symposium,volume::international web rule symposium::2006::15
journal::arxiv.org,volume::arxiv.org::2026::16
journal::information systems,volume::information systems::2007::20
journal::annual international acm sigir conference on research and development in information retrieval,volume::annual international acm sigir conference on research and development in information retrieval::1979::5
journal::international symposium on autonomous decentralized systems,volume::international symposium on autonomous decentralized systems::2007::18
journal::neurocomputing,volume::neurocomputing::2020::12
journal::jmir aging,volume::jmir aging::2020::13
journal::gynecologic oncology,volume::gynecologic oncology::2020::8
journal::social science & medicine (1967),volume::social science & medicine (1967)::2018::13
journal::ieee international conference on data engineering,volume::ieee international conference on data engineering::2025::12
journal::journal of islamic accounting and business research,volume::journal of islamic accounting and business research::2026::11
journal::journal of trauma and acute care surgery,volume::journal of trauma and acute care surgery::2016::5
journal::journal of medical systems,volume::journal of medical systems::2012::19
journal::international journal of multimedia information retrieval,volume::international journal of multimedia information retrieval::2015::1
journal::journal of orthopaedic surgery,volume::journal of orthopaedic surgery::2019::9
journal::european journal of cancer prevention,volume::european journal of cancer prevention::2004::9
journal::ieee internet of things journal,volume::ieee internet of things journal::2023::10
journal::neural information processing systems,volume::neural information processing systems::2024::16
journal::biorxiv,volume::biorxiv::2026::19
journal::neural information processing systems,volume::neural information processing systems::2023::19
journal::international conference on smart multimedia,volume::international conference on smart multimedia::2007::12
journal::journal of american college health,volume::journal of american college health::2025::7
journal::acm sigmod conference,volume::acm sigmod conference::2007::13
journal::brazilian symposium on information systems,volume::brazilian symposium on information systems::2012::11
journal::database j. biol. databases curation,volume::database j. biol. databases curation::2010::6
journal::sigmod conference,volume::sigmod conference::2014::15
journal::genetics and molecular biology,volume::genetics and molecular biology::2020::14
journal::international conference on frontiers in intelligent computing: theory and applications,volume::international conference on frontiers in intelligent computing: theory and applications::2020::12
journal::european journal of cell biology,volume::european journal of cell biology::2023::8
journal::journal of computing science and engineering,volume::journal of computing science and engineering::2007::2
journal::international conference on software and data technologies,volume::international conference on software and data technologies::2006::11
journal::sigmod conference companion,volume::sigmod conference companion::2023::12
journal::ieee transactions on parallel and distributed systems,volume::ieee transactions on parallel and distributed systems::2015::9
journal::indian journal of orthopaedics,volume::indian journal of orthopaedics::2020::20
journal::protein science,volume::protein science::2021::7
journal::bmc genomics,volume::bmc genomics::2008::9
journal::proceedings / international conference on data engineering,volume::proceedings / international conference on data engineering::2004::17
journal::ieee global conference on signal and information processing,volume::ieee global conference on signal and information processing::2013::7
journal::chi conference companion,volume::chi conference companion::1996::8
journal::korean institute of smart media,volume::korean institute of smart media::2025::15
journal::the journal of information systems,volume::the journal of information systems::2007::5
journal::annual international acm sigir conference on research and development in information retrieval,volume::annual international acm sigir conference on research and development in information retrieval::2002::18
journal::symposium on the theory of computing,volume::symposium on the theory of computing::2024::19
journal::italian national conference on sensors,volume::italian national conference on sensors::2025::1
journal::beyondmr@sigmod,volume::beyondmr@sigmod::2017::11
journal::sigmod conference,volume::sigmod conference::2014::18
journal::bmc bioinformatics,volume::bmc bioinformatics::2018::1
journal::international conference on database systems for advanced applications,volume::international conference on database systems for advanced applications::2007::8
journal::ictact journal on communication technology,volume::ictact journal on communication technology::2016::3
journal::international conference on conceptual structures,volume::international conference on conceptual structures::2003::12
journal::soft measurements and computing,volume::soft measurements and computing::2025::7
journal::clinical cancer research,volume::clinical cancer research::2014::17
journal::bulletin of the american meteorological society - (bams),volume::bulletin of the american meteorological society - (bams)::2024::20
journal::jmir medical informatics,volume::jmir medical informatics::2024::12
journal::ieee access,volume::ieee access::2022::13
journal::plastic and reconstructive surgery,volume::plastic and reconstructive surgery::2020::11
journal::proceedings thirteenth international conference on scientific and statistical database management. ssdbm 2001,volume::proceedings thirteenth international conference on scientific and statistical database management. ssdbm 2001::2001::19
journal::web search and data mining,volume::web search and data mining::2014::4
journal::information resources management journal,volume::information resources management journal::2008::10
journal::scg '95,volume::scg '95::1995::14
journal::knowledge and information systems,volume::knowledge and information systems::2012::8
journal::acm-siam symposium on discrete algorithms,volume::acm-siam symposium on discrete algorithms::2017::8
journal::frontiers of computer science,volume::frontiers of computer science::2015::7
journal::international conference on language resources and evaluation,volume::international conference on language resources and evaluation::2024::5
journal::symposium on small systems,volume::symposium on small systems::1981::14
journal::journal of artificial intelligence &amp; cloud computing,volume::journal of artificial intelligence &amp; cloud computing::2022::19
journal::ieee transactions on engineering management,volume::ieee transactions on engineering management::2021::3
journal::sigmod conference,volume::sigmod conference::2016::14
journal::2015 ieee international conference on data mining,volume::2015 ieee international conference on data mining::2015::19
journal::quantum information processing,volume::quantum information processing::2025::11
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2014::3
journal::medical science monitor,volume::medical science monitor::2020::17
journal::information sciences,volume::information sciences::2019::12
journal::acm sigmod conference,volume::acm sigmod conference::2007::1
journal::ieee transactions on visualization and computer graphics,volume::ieee transactions on visualization and computer graphics::2021::1
journal::conference on empirical methods in natural language processing,volume::conference on empirical methods in natural language processing::2023::4
journal::international conference on information and knowledge management,volume::international conference on information and knowledge management::2001::7
journal::global conference on artificial intelligence,volume::global conference on artificial intelligence::2015::15
journal::ieee conference on computer communications,volume::ieee conference on computer communications::2021::19
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2018::2
journal::neurocomputing,volume::neurocomputing::2014::2
journal::international conference on soft computing for problem solving,volume::international conference on soft computing for problem solving::2012::4
journal::acta oncologica,volume::acta oncologica::2021::10
journal::ieee transactions on knowledge and data engineering,volume::ieee transactions on knowledge and data engineering::2007::16
journal::journal of the american academy of orthopaedic surgeons,volume::journal of the american academy of orthopaedic surgeons::2024::17
journal::arxiv.org,volume::arxiv.org::2024::8
journal::data in brief,volume::data in brief::2024::6
journal::decision support systems,volume::decision support systems::2001::9
journal::international journal of computer assisted radiology and surgery,volume::international journal of computer assisted radiology and surgery::2025::14
journal::ibm systems journal,volume::ibm systems journal::2001::13
journal::international conference on information integration and web-based applications & services,volume::international conference on information integration and web-based applications & services::2020::16
journal::neural computing & applications (print),volume::neural computing & applications (print)::2020::3
journal::medical informatics europe,volume::medical informatics europe::2015::6
journal::journal of biomedical informatics,volume::journal of biomedical informatics::2016::16
journal::fixed points in computer science,volume::fixed points in computer science::2015::11
journal::international conference on database theory,volume::international conference on database theory::2015::2
journal::clinical neurology and neurosurgery (dutch-flemish ed. print),volume::clinical neurology and neurosurgery (dutch-flemish ed. print)::2024::11
journal::arxiv.org,volume::arxiv.org::2025::1
journal::international web rule symposium,volume::international web rule symposium::2007::12
journal::data management in grids,volume::data management in grids::2005::19
journal::medrxiv,volume::medrxiv::2025::3
journal::international conference on peer-to-peer computing,volume::international conference on peer-to-peer computing::2006::13
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2010::13
journal::world wide web (bussum),volume::world wide web (bussum)::2017::7
journal::algorithmica,volume::algorithmica::2013::3
journal::international conference on conceptual modeling,volume::international conference on conceptual modeling::2017::8
journal::journal of clinical oncology,volume::journal of clinical oncology::2025::10
journal::orthopaedic journal of sports medicine,volume::orthopaedic journal of sports medicine::2020::4
journal::international conference on ubiquitous intelligence and computing,volume::international conference on ubiquitous intelligence and computing::2006::10
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2021::12
journal::international journal of information security,volume::international journal of information security::2020::9
journal::international journal of information and communication technology,volume::international journal of information and communication technology::2016::2
journal::ieee access,volume::ieee access::2017::6
journal::international conference on database systems for advanced applications,volume::international conference on database systems for advanced applications::2010::3
journal::international conference on database and expert systems applications,volume::international conference on database and expert systems applications::2010::4
journal::acm-siam symposium on discrete algorithms,volume::acm-siam symposium on discrete algorithms::2011::17
journal::education and information technologies : official journal of the ifip technical committee on education,volume::education and information technologies : official journal of the ifip technical committee on education::2024::8
journal::journal of nematology,volume::journal of nematology::2016::6
journal::journal of computer science,volume::journal of computer science::2014::17
journal::bmc bioinformatics,volume::bmc bioinformatics::2005::5
journal::general reanimatology,volume::general reanimatology::2024::4
journal::journal of medical screening,volume::journal of medical screening::2023::12
journal::advances in mobile multimedia,volume::advances in mobile multimedia::2011::20
journal::2007 ieee/rsj international conference on intelligent robots and systems,volume::2007 ieee/rsj international conference on intelligent robots and systems::2007::12
journal::nucleic acids research,volume::nucleic acids research::2025::5
journal::jacc: cardiovascular interventions,volume::jacc: cardiovascular interventions::2020::18
journal::protein science,volume::protein science::2006::9
journal::ieee transactions on knowledge and data engineering,volume::ieee transactions on knowledge and data engineering::2006::6
journal::information and software technology,volume::information and software technology::2007::12
journal::jerusalem journal of archaeology,volume::jerusalem journal of archaeology::2023::17
journal::european journal of surgical oncology,volume::european journal of surgical oncology::2020::20
journal::joint ifsa world congress and nafips annual meeting,volume::joint ifsa world congress and nafips annual meeting::2013::11
journal::international conference on knowledge engineering and ontology development,volume::international conference on knowledge engineering and ontology development::2010::3
"journal::fachtagung ""e-learning"" der gesellschaft für informatik","volume::fachtagung ""e-learning"" der gesellschaft für informatik::2024::12"
journal::aaai conference on artificial intelligence,volume::aaai conference on artificial intelligence::2024::19
journal::aaai conference on artificial intelligence,volume::aaai conference on artificial intelligence::2011::7
journal::systematic biology,volume::systematic biology::2007::1
journal::acm/sigcomm internet measurement conference,volume::acm/sigcomm internet measurement conference::2015::19
journal::ieee international conference on data engineering,volume::ieee international conference on data engineering::2005::13
journal::ieee international conference on e-business engineering,volume::ieee international conference on e-business engineering::2021::4
journal::international conference on the theory of information retrieval,volume::international conference on the theory of information retrieval::2023::7
journal::international conference on information integration and web-based applications & services,volume::international conference on information integration and web-based applications & services::2017::18
journal::pacific rim conference on multimedia,volume::pacific rim conference on multimedia::2018::16
journal::iscience,volume::iscience::2024::16
journal::science and transport progress,volume::science and transport progress::2024::7
journal::international conference on big data applications and services,volume::international conference on big data applications and services::2015::11
journal::current topics in medicinal chemistry,volume::current topics in medicinal chemistry::2025::20
journal::igarss 2004. 2004 ieee international geoscience and remote sensing symposium,volume::igarss 2004. 2004 ieee international geoscience and remote sensing symposium::2004::14
journal::international conference on information and knowledge management,volume::international conference on information and knowledge management::2009::8
journal::ieee transactions on computers,volume::ieee transactions on computers::2025::7
journal::trans. large scale data knowl. centered syst.,volume::trans. large scale data knowl. centered syst.::2012::11
journal::2014 ieee international conference on distributed computing in sensor systems,volume::2014 ieee international conference on distributed computing in sensor systems::2014::12
journal::wideochirurgia i inne techniki maloinwazyjne = videosurgery and other miniinvasive techniques,volume::wideochirurgia i inne techniki maloinwazyjne = videosurgery and other miniinvasive techniques::2021::10
journal::journal of clinical oncology,volume::journal of clinical oncology::2026::19
journal::journal of information processing,volume::journal of information processing::2016::17
journal::journal of ambient intelligence and humanized computing,volume::journal of ambient intelligence and humanized computing::2021::7
journal::arxiv.org,volume::arxiv.org::2026::3
journal::journal on data semantics,volume::journal on data semantics::2005::14
journal::eclinicalmedicine,volume::eclinicalmedicine::2020::14
journal::neuro-oncology advances,volume::neuro-oncology advances::2024::3
journal::international conference on information technology: new generations,volume::international conference on information technology: new generations::2007::10
journal::data science in finance and economics,volume::data science in finance and economics::2024::19
journal::journal of anatomy,volume::journal of anatomy::2005::9
journal::british dental journal,volume::british dental journal::2023::16
journal::ieee international conference on data engineering,volume::ieee international conference on data engineering::2005::11
journal::acm sigact-sigmod-sigart symposium on principles of database systems,volume::acm sigact-sigmod-sigart symposium on principles of database systems::2015::2
journal::fhies/sehc,volume::fhies/sehc::2014::17
journal::bigdata congress [services society],volume::bigdata congress [services society]::2013::8
journal::acm symposium on cloud computing,volume::acm symposium on cloud computing::2011::19
journal::int. j. wirel. inf. networks,volume::int. j. wirel. inf. networks::2006::19
journal::journal of information systems engineering & management,volume::journal of information systems engineering & management::2024::13
journal::spine,volume::spine::2019::1
journal::international conference on artificial intelligence and law,volume::international conference on artificial intelligence and law::2025::13
journal::journal of automated reasoning,volume::journal of automated reasoning::2020::7
journal::international conference on data warehousing and knowledge discovery,volume::international conference on data warehousing and knowledge discovery::2015::4
"journal::international multi-conference on systems, signals & devices","volume::international multi-conference on systems, signals & devices::1997::11"
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2016::3
journal::bigdata congress [services society],volume::bigdata congress [services society]::2018::12
journal::clinical neurology and neurosurgery (dutch-flemish ed. print),volume::clinical neurology and neurosurgery (dutch-flemish ed. print)::2024::19
"journal::international conference on identity, security and behavior analysis","volume::international conference on identity, security and behavior analysis::2017::1"
journal::omics,volume::omics::2006::16
journal::sigmod conference,volume::sigmod conference::2014::13
journal::telecommunications systems,volume::telecommunications systems::2007::19
journal::the vldb journal,volume::the vldb journal::2013::2
journal::information processing letters,volume::information processing letters::1996::1
journal::acm symposium on applied computing,volume::acm symposium on applied computing::2004::2
journal::cochrane database of systematic reviews,volume::cochrane database of systematic reviews::2011::3
journal::2008 latin american web conference,volume::2008 latin american web conference::2008::10
journal::international conference of distributed computing and networking,volume::international conference of distributed computing and networking::2020::19
journal::the spine journal,volume::the spine journal::2019::20
journal::bmc gastroenterology,volume::bmc gastroenterology::2022::20
journal::international conference on enterprise information systems,volume::international conference on enterprise information systems::2015::8
journal::nucleic acids research,volume::nucleic acids research::2005::13
journal::european radiology,volume::european radiology::2023::20
journal::proceedings of the vldb endowment,volume::proceedings of the vldb endowment::2024::19
"journal::2020 international conferences on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata) and ieee congress on cybermatics (cybermatics)","volume::2020 international conferences on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata) and ieee congress on cybermatics (cybermatics)::2020::20"
journal::j. comput. biol.,volume::j. comput. biol.::1995::15
journal::ieee intelligent vehicles symposium,volume::ieee intelligent vehicles symposium::2010::14
journal::wireless personal communications,volume::wireless personal communications::2020::8
journal::international conference on multimedia retrieval,volume::international conference on multimedia retrieval::2024::4
journal::european conference on information retrieval,volume::european conference on information retrieval::2008::6
journal::international conference on language resources and evaluation,volume::international conference on language resources and evaluation::2024::14
journal::international conference on climate informatics,volume::international conference on climate informatics::2020::18
journal::scientific data,volume::scientific data::2021::13
journal::future generations computer systems,volume::future generations computer systems::2017::15
journal::nucleic acids res.,volume::nucleic acids res.::2015::4
journal::ieee access,volume::ieee access::2019::10
journal::operative neurosurgery,volume::operative neurosurgery::2018::9
journal::computer graphics forum (print),volume::computer graphics forum (print)::2002::19
journal::annals of thoracic surgery,volume::annals of thoracic surgery::2017::8
journal::international symposium on spatial and temporal databases,volume::international symposium on spatial and temporal databases::2001::12
journal::cartographica,volume::cartographica::2004::5
journal::american journal of medicine,volume::american journal of medicine::2015::1
journal::advances in distributed computing and artificial intelligence journal,volume::advances in distributed computing and artificial intelligence journal::2024::16
journal::international journal of innovative research in advanced engineering,volume::international journal of innovative research in advanced engineering::2025::13
journal::bmc bioinformatics,volume::bmc bioinformatics::2009::16
journal::knowledge discovery and data mining,volume::knowledge discovery and data mining::2016::6
journal::appl. ontology,volume::appl. ontology::2008::11
journal::ieee international enterprise distributed object computing conference,volume::ieee international enterprise distributed object computing conference::2011::3
journal::2015 16th ieee international conference on mobile data management,volume::2015 16th ieee international conference on mobile data management::2015::12
journal::real-time systems,volume::real-time systems::2012::1
journal::ubicomp/iswc adjunct,volume::ubicomp/iswc adjunct::2015::5
journal::international symposium on algorithms and computation,volume::international symposium on algorithms and computation::2022::13
journal::progress in artificial intelligence,volume::progress in artificial intelligence::2019::12
journal::computer vision and pattern recognition,volume::computer vision and pattern recognition::2025::5
journal::international conference on database and expert systems applications,volume::international conference on database and expert systems applications::2006::16
journal::journal of cloud computing,volume::journal of cloud computing::2024::3
journal::journal of chemical information and modeling,volume::journal of chemical information and modeling::2018::4
journal::ieee international conference on data engineering,volume::ieee international conference on data engineering::2014::6
journal::professioni infermieristiche,volume::professioni infermieristiche::2015::19
journal::clinical spine surgery,volume::clinical spine surgery::2023::4
journal::multimedia tools and applications,volume::multimedia tools and applications::2003::16
journal::iaf human spaceflight symposium,volume::iaf human spaceflight symposium::2024::20
journal::international conference on extending database technology,volume::international conference on extending database technology::2024::15
journal::arxiv.org,volume::arxiv.org::2022::7
journal::medinfo,volume::medinfo::1998::18
journal::astronomy and computing,volume::astronomy and computing::2016::15
journal::ifip international conference on embedded and ubiquitous computing,volume::ifip international conference on embedded and ubiquitous computing::2004::10
journal::int. j. distributed syst. technol.,volume::int. j. distributed syst. technol.::2011::18
journal::environment and planning,volume::environment and planning::2022::4
