journalId,name
"journal::sbv journal of basic, clinical and applied health science","SBV Journal of Basic, Clinical and Applied Health Science"
journal::medical informatics europe,Medical Informatics Europe
journal::international journal of intelligent information and database systems,International Journal of Intelligent Information and Database Systems
journal::international conference on information processing and management of uncertainty,International Conference on Information Processing and Management of Uncertainty
journal::information processing & management,Information Processing & Management
journal::international conference on geoinformatics and data analysis,International Conference on Geoinformatics and Data Analysis
journal::ieee infocom 2016 - the 35th annual ieee international conference on computer communications,IEEE INFOCOM 2016 - The 35th Annual IEEE International Conference on Computer Communications
journal::journal of trauma and acute care surgery,Journal of Trauma and Acute Care Surgery
journal::omics,Omics
"journal::2007 ieee international conference on research, innovation and vision for the future","2007 IEEE International Conference on Research, Innovation and Vision for the Future"
journal::medical physics (lancaster),Medical Physics (Lancaster)
journal::lsc@icmr,LSC@ICMR
journal::iberian conference on pattern recognition and image analysis,Iberian Conference on Pattern Recognition and Image Analysis
journal::2007 ieee symposium on visual analytics science and technology,2007 IEEE Symposium on Visual Analytics Science and Technology
journal::[1992] proceedings fifth annual ieee symposium on computer-based medical systems,[1992] Proceedings Fifth Annual IEEE Symposium on Computer-Based Medical Systems
journal::frontiers of computer science,Frontiers of Computer Science
journal::cancer management and research,Cancer Management and Research
journal::international conference on wirtschaftsinformatik,International Conference on Wirtschaftsinformatik
journal::electronic commerce research and applications,Electronic Commerce Research and Applications
journal::proceedings of the nutrition society,Proceedings of the Nutrition Society
journal::theoretical aspects of software engineering,Theoretical Aspects of Software Engineering
journal::acta informatica medica : aim : journal of the society for medical informatics of bosnia & herzegovina : casopis drustva za medicinsku informatiku bih,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH
journal::neural networks,Neural Networks
journal::journal of social and organizational matters,Journal of Social and Organizational Matters
journal::ieee symposium on field-programmable custom computing machines,IEEE Symposium on Field-Programmable Custom Computing Machines
journal::international conference on computer science and information technologies,International Conference on Computer Science and Information Technologies
journal::acm-sigplan international conference on principles and practice of declarative programming,ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming
journal::international conference on computer science and software engineering,International Conference on Computer Science and Software Engineering
journal::european journal of endocrinology,European Journal of Endocrinology
journal::knowledge-based systems,Knowledge-Based Systems
journal::2008 the ninth international conference on web-age information management,2008 The Ninth International Conference on Web-Age Information Management
journal::guidelines and standards of chinese medicine,Guidelines and Standards of Chinese Medicine
journal::2011 ieee fifth international conference on semantic computing,2011 IEEE Fifth International Conference on Semantic Computing
journal::datenbank-spektrum,Datenbank-Spektrum
journal::journal of king saud university: computer and information sciences,Journal of King Saud University: Computer and Information Sciences
journal::petra,Petra
journal::brilliance research of artificial intelligence,Brilliance Research of Artificial Intelligence
journal::iacr cryptology eprint archive,IACR Cryptology ePrint Archive
journal::journal of gastrointestinal surgery,Journal of Gastrointestinal Surgery
journal::neuroepidemiology,Neuroepidemiology
journal::communication systems and applications,Communication Systems and Applications
journal::journal of chemical information and modeling,Journal of Chemical Information and Modeling
journal::international conference on information systems security and privacy,International Conference on Information Systems Security and Privacy
journal::european conference on information retrieval,European Conference on Information Retrieval
journal::pattern recognition,Pattern Recognition
journal::international conference on electronic commerce and web technologies,International Conference on Electronic Commerce and Web Technologies
journal::conference on empirical methods in natural language processing,Conference on Empirical Methods in Natural Language Processing
journal::ieee international conference on network protocols,IEEE International Conference on Network Protocols
journal::international journal for sciences and technology,International Journal for Sciences and Technology
journal::eastern-european journal of enterprise technologies,Eastern-European Journal of Enterprise Technologies
journal::indian journal of information sources and services,Indian Journal of Information Sources and Services
journal::john vincent atanasoff symposium,John Vincent Atanasoff Symposium
journal::acm-siam symposium on discrete algorithms,ACM-SIAM Symposium on Discrete Algorithms
journal::ieee pervasive computing,IEEE pervasive computing
"journal::international joint conference on knowledge discovery, knowledge engineering and knowledge management","International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management"
journal::2014 ieee international conference on big data (big data),2014 IEEE International Conference on Big Data (Big Data)
journal::current directions in biomedical engineering,Current Directions in Biomedical Engineering
journal::electronic imaging,Electronic imaging
journal::msystems,mSystems
journal::chemical sensors,Chemical Sensors
journal::the sea,The Sea
journal::journal of intelligence and information systems,Journal of Intelligence and Information Systems
journal::american journal of medicine open,American Journal of Medicine Open
journal::acm symposium on parallelism in algorithms and architectures,ACM Symposium on Parallelism in Algorithms and Architectures
"journal::2013 eighth international conference on p2p, parallel, grid, cloud and internet computing","2013 Eighth International Conference on P2P, Parallel, Grid, Cloud and Internet Computing"
journal::international conference on database systems for advanced applications,International Conference on Database Systems for Advanced Applications
journal::international web rule symposium,International Web Rule Symposium
journal::information systems,Information Systems
journal::international symposium on autonomous decentralized systems,International Symposium on Autonomous Decentralized Systems
journal::neurocomputing,Neurocomputing
journal::jmir aging,JMIR Aging
journal::gynecologic oncology,Gynecologic Oncology
journal::social science & medicine (1967),Social Science & Medicine (1967)
journal::journal of islamic accounting and business research,Journal of Islamic Accounting and Business Research
journal::journal of medical systems,Journal of medical systems
journal::international journal of multimedia information retrieval,International Journal of Multimedia Information Retrieval
journal::journal of orthopaedic surgery,Journal of Orthopaedic Surgery
journal::european journal of cancer prevention,European Journal of Cancer Prevention
journal::international conference on smart multimedia,International Conference on Smart Multimedia
journal::journal of american college health,Journal of American College Health
journal::acm sigmod conference,ACM SIGMOD Conference
journal::brazilian symposium on information systems,Brazilian Symposium on Information Systems
journal::database j. biol. databases curation,Database J. Biol. Databases Curation
journal::genetics and molecular biology,Genetics and Molecular Biology
journal::international conference on frontiers in intelligent computing: theory and applications,International Conference on Frontiers in Intelligent Computing: Theory and Applications
journal::european journal of cell biology,European Journal of Cell Biology
journal::journal of computing science and engineering,Journal of Computing Science and Engineering
journal::sigmod conference companion,SIGMOD Conference Companion
journal::ieee transactions on parallel and distributed systems,IEEE Transactions on Parallel and Distributed Systems
journal::indian journal of orthopaedics,Indian Journal of Orthopaedics
journal::protein science,Protein Science
journal::bmc genomics,BMC Genomics
journal::proceedings / international conference on data engineering,Proceedings / International Conference on Data Engineering
journal::ieee global conference on signal and information processing,IEEE Global Conference on Signal and Information Processing
journal::chi conference companion,CHI Conference Companion
journal::korean institute of smart media,Korean Institute of Smart Media
journal::the journal of information systems,The Journal of Information Systems
journal::symposium on the theory of computing,Symposium on the Theory of Computing
journal::beyondmr@sigmod,BeyondMR@SIGMOD
journal::bmc bioinformatics,BMC Bioinformatics
journal::ictact journal on communication technology,ICTACT Journal on Communication Technology
journal::soft measurements and computing,SOFT MEASUREMENTS AND COMPUTING
journal::bulletin of the american meteorological society - (bams),Bulletin of The American Meteorological Society - (BAMS)
journal::jmir medical informatics,JMIR Medical Informatics
journal::plastic and reconstructive surgery,Plastic and Reconstructive Surgery
journal::proceedings thirteenth international conference on scientific and statistical database management. ssdbm 2001,Proceedings Thirteenth International Conference on Scientific and Statistical Database Management. SSDBM 2001
journal::web search and data mining,Web Search and Data Mining
journal::information resources management journal,Information Resources Management Journal
journal::scg '95,SCG '95
journal::international conference on language resources and evaluation,International Conference on Language Resources and Evaluation
journal::symposium on small systems,Symposium on Small Systems
journal::journal of artificial intelligence &amp; cloud computing,Journal of Artificial Intelligence &amp; Cloud Computing
journal::ieee transactions on engineering management,IEEE transactions on engineering management
journal::2015 ieee international conference on data mining,2015 IEEE International Conference on Data Mining
journal::quantum information processing,Quantum Information Processing
journal::medical science monitor,Medical Science Monitor
journal::global conference on artificial intelligence,Global Conference on Artificial Intelligence
journal::ieee conference on computer communications,IEEE Conference on Computer Communications
journal::international conference on soft computing for problem solving,International Conference on Soft Computing for Problem Solving
journal::acta oncologica,Acta oncologica
journal::ieee transactions on knowledge and data engineering,IEEE Transactions on Knowledge and Data Engineering
journal::journal of the american academy of orthopaedic surgeons,Journal of the American Academy of Orthopaedic Surgeons
journal::decision support systems,Decision Support Systems
journal::international journal of computer assisted radiology and surgery,International Journal of Computer Assisted Radiology and Surgery
journal::ibm systems journal,IBM Systems Journal
journal::international conference on information integration and web-based applications & services,International Conference on Information Integration and Web-based Applications & Services
journal::neural computing & applications (print),Neural computing & applications (Print)
journal::journal of biomedical informatics,Journal of Biomedical Informatics
journal::fixed points in computer science,Fixed Points in Computer Science
journal::clinical neurology and neurosurgery (dutch-flemish ed. print),Clinical neurology and neurosurgery (Dutch-Flemish ed. Print)
journal::data management in grids,Data Management in Grids
journal::international conference on peer-to-peer computing,International Conference on Peer-to-Peer Computing
journal::world wide web (bussum),World wide web (Bussum)
journal::international conference on conceptual modeling,International Conference on Conceptual Modeling
journal::journal of clinical oncology,Journal of Clinical Oncology
journal::orthopaedic journal of sports medicine,Orthopaedic Journal of Sports Medicine
journal::international conference on ubiquitous intelligence and computing,International Conference on Ubiquitous Intelligence and Computing
journal::international journal of information security,International Journal of Information Security
journal::international journal of information and communication technology,International Journal of Information and Communication Technology
journal::international conference on database and expert systems applications,International Conference on Database and Expert Systems Applications
journal::education and information technologies : official journal of the ifip technical committee on education,Education and Information Technologies : Official Journal of the IFIP technical committee on Education
journal::journal of nematology,Journal of nematology
journal::journal of computer science,Journal of Computer Science
journal::general reanimatology,General Reanimatology
journal::journal of medical screening,Journal of Medical Screening
journal::advances in mobile multimedia,Advances in Mobile Multimedia
journal::2007 ieee/rsj international conference on intelligent robots and systems,2007 IEEE/RSJ International Conference on Intelligent Robots and Systems
journal::nucleic acids research,Nucleic Acids Research
journal::jacc: cardiovascular interventions,JACC: Cardiovascular Interventions
journal::information and software technology,Information and Software Technology
journal::jerusalem journal of archaeology,Jerusalem Journal of Archaeology
journal::european journal of surgical oncology,European Journal of Surgical Oncology
journal::joint ifsa world congress and nafips annual meeting,Joint IFSA World Congress and NAFIPS Annual Meeting
journal::international conference on knowledge engineering and ontology development,International Conference on Knowledge Engineering and Ontology Development
"journal::fachtagung ""e-learning"" der gesellschaft für informatik","Fachtagung ""e-Learning"" der Gesellschaft für Informatik"
journal::systematic biology,Systematic Biology
journal::acm/sigcomm internet measurement conference,ACM/SIGCOMM Internet Measurement Conference
journal::ieee international conference on e-business engineering,IEEE International Conference on e-Business Engineering
journal::international conference on the theory of information retrieval,International Conference on the Theory of Information Retrieval
journal::pacific rim conference on multimedia,Pacific Rim Conference on Multimedia
journal::iscience,iScience
journal::science and transport progress,Science and Transport Progress
journal::international conference on big data applications and services,International Conference on Big Data Applications and Services
journal::current topics in medicinal chemistry,Current Topics in Medicinal Chemistry
journal::igarss 2004. 2004 ieee international geoscience and remote sensing symposium,IGARSS 2004. 2004 IEEE International Geoscience and Remote Sensing Symposium
journal::trans. large scale data knowl. centered syst.,Trans. Large Scale Data Knowl. Centered Syst.
journal::2014 ieee international conference on distributed computing in sensor systems,2014 IEEE International Conference on Distributed Computing in Sensor Systems
journal::wideochirurgia i inne techniki maloinwazyjne = videosurgery and other miniinvasive techniques,Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques
journal::journal of ambient intelligence and humanized computing,Journal of Ambient Intelligence and Humanized Computing
journal::journal on data semantics,Journal on Data Semantics
journal::eclinicalmedicine,EClinicalMedicine
journal::neuro-oncology advances,Neuro-Oncology Advances
journal::international conference on information technology: new generations,International Conference on Information Technology: New Generations
journal::data science in finance and economics,Data Science in Finance and Economics
journal::journal of anatomy,Journal of Anatomy
journal::british dental journal,British Dental Journal
journal::fhies/sehc,FHIES/SEHC
journal::bigdata congress [services society],BigData Congress [Services Society]
journal::acm symposium on cloud computing,ACM Symposium on Cloud Computing
journal::int. j. wirel. inf. networks,Int. J. Wirel. Inf. Networks
journal::spine,Spine
journal::international conference on artificial intelligence and law,International Conference on Artificial Intelligence and Law
journal::journal of automated reasoning,Journal of automated reasoning
journal::international conference on data warehousing and knowledge discovery,International Conference on Data Warehousing and Knowledge Discovery
"journal::international multi-conference on systems, signals & devices","International Multi-Conference on Systems, Signals & Devices"
"journal::international conference on identity, security and behavior analysis","International Conference on Identity, Security and Behavior Analysis"
journal::telecommunications systems,Telecommunications Systems
journal::the vldb journal,The VLDB journal
journal::information processing letters,Information Processing Letters
journal::acm symposium on applied computing,ACM Symposium on Applied Computing
journal::2008 latin american web conference,2008 Latin American Web Conference
journal::international conference of distributed computing and networking,International Conference of Distributed Computing and Networking
journal::the spine journal,The spine journal
journal::bmc gastroenterology,BMC Gastroenterology
journal::international conference on enterprise information systems,International Conference on Enterprise Information Systems
journal::european radiology,European Radiology
"journal::2020 international conferences on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata) and ieee congress on cybermatics (cybermatics)","2020 International Conferences on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)"
journal::j. comput. biol.,J. Comput. Biol.
journal::ieee intelligent vehicles symposium,IEEE Intelligent Vehicles Symposium
journal::wireless personal communications,Wireless personal communications
journal::international conference on multimedia retrieval,International Conference on Multimedia Retrieval
journal::international conference on climate informatics,International Conference on Climate Informatics
journal::scientific data,Scientific Data
journal::future generations computer systems,Future generations computer systems
journal::nucleic acids res.,Nucleic Acids Res.
journal::operative neurosurgery,Operative Neurosurgery
journal::computer graphics forum (print),Computer graphics forum (Print)
journal::annals of thoracic surgery,Annals of Thoracic Surgery
journal::international symposium on spatial and temporal databases,International Symposium on Spatial and Temporal Databases
journal::cartographica,Cartographica
journal::american journal of medicine,American Journal of Medicine
journal::advances in distributed computing and artificial intelligence journal,Advances in Distributed Computing and Artificial Intelligence Journal
journal::international journal of innovative research in advanced engineering,International Journal of Innovative Research in Advanced Engineering
journal::appl. ontology,Appl. Ontology
journal::ieee international enterprise distributed object computing conference,IEEE International Enterprise Distributed Object Computing Conference
journal::2015 16th ieee international conference on mobile data management,2015 16th IEEE International Conference on Mobile Data Management
journal::real-time systems,Real-time systems
journal::international symposium on algorithms and computation,International Symposium on Algorithms and Computation
journal::progress in artificial intelligence,Progress in Artificial Intelligence
journal::computer vision and pattern recognition,Computer Vision and Pattern Recognition
journal::journal of cloud computing,Journal of Cloud Computing
journal::professioni infermieristiche,Professioni infermieristiche
journal::clinical spine surgery,Clinical Spine Surgery
journal::iaf human spaceflight symposium,IAF Human Spaceflight Symposium
journal::astronomy and computing,Astronomy and Computing
journal::ifip international conference on embedded and ubiquitous computing,IFIP International Conference on Embedded and Ubiquitous Computing
journal::int. j. distributed syst. technol.,Int. J. Distributed Syst. Technol.
journal::environment and planning,Environment and Planning
"journal::2017 ieee international conference on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata)","2017 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)"
journal::inf. syst. frontiers,Inf. Syst. Frontiers
journal::isprs int. j. geo inf.,ISPRS Int. J. Geo Inf.
journal::annual meeting of the association for computational linguistics,Annual Meeting of the Association for Computational Linguistics
journal::international conference on applications of natural language to data bases,International Conference on Applications of Natural Language to Data Bases
"journal::international conference on geographical information systems theory, applications and management","International Conference on Geographical Information Systems Theory, Applications and Management"
journal::journal of artificial intelligence and capsule networks,Journal of Artificial Intelligence and Capsule Networks
journal::china semantic web symposium,China Semantic Web Symposium
journal::ieee international conference on robotics and automation,IEEE International Conference on Robotics and Automation
journal::programming and computer software,Programming and computer software
journal::bulletin of rehabilitation medicine,Bulletin of Rehabilitation Medicine
journal::digital information and communication technology and its applications,Digital Information and Communication Technology and Its Applications
journal::cybersecurity and cyberforensics conference,Cybersecurity and Cyberforensics Conference
journal::archives of orthopaedic and trauma surgery,Archives of Orthopaedic and Trauma Surgery
journal::journal of intensive care medicine,Journal of Intensive Care Medicine
journal::conference on computer graphics and interactive techniques in australasia and southeast asia,Conference on Computer Graphics and Interactive Techniques in Australasia and Southeast Asia
journal::journal of biological chemistry,Journal of Biological Chemistry
journal::journal of the american society of nephrology,Journal of the American Society of Nephrology
journal::information and computation,Information and Computation
journal::dkb/kik@ki,DKB/KIK@KI
journal::journal of database management,Journal of Database Management
journal::international conference on machine learning,International Conference on Machine Learning
journal::international conference on web reasoning and rule systems,International Conference on Web Reasoning and Rule Systems
journal::interantional journal of scientific research in engineering and management,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT
journal::journal of visual languages and computing,Journal of Visual Languages and Computing
"journal::vestnik nevrologii, psihiatrii i nejrohirurgii (bulletin of neurology, psychiatry and neurosurgery)","Vestnik nevrologii, psihiatrii i nejrohirurgii (Bulletin of Neurology, Psychiatry and Neurosurgery)"
journal::international conference on software engineering and knowledge engineering,International Conference on Software Engineering and Knowledge Engineering
journal::ifip international information security conference,IFIP International Information Security Conference
journal::journal of logic and computation,Journal of Logic and Computation
journal::fundamenta informaticae,Fundamenta Informaticae
journal::journal of the american society for mass spectrometry,Journal of the American Society for Mass Spectrometry
journal::journal of orthopaedic experience &amp; innovation,Journal of Orthopaedic Experience &amp; Innovation
journal::journal of artificial intelligence research,Journal of Artificial Intelligence Research
journal::international conference on intelligent computing,International Conference on Intelligent Computing
journal::computer and information science,Computer and Information Science
journal::2015 ieee world congress on services,2015 IEEE World Congress on Services
journal::automated and algorithmic debugging,Automated and Algorithmic Debugging
journal::ieee journal of selected topics in applied earth observations and remote sensing,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing
journal::acm turing celebration conference,ACM Turing Celebration Conference
journal::environmental science and technology,Environmental Science and Technology
journal::energies,Energies
journal::international conference on advances in social networks analysis and mining,International Conference on Advances in Social Networks Analysis and Mining
journal::chemosphere,Chemosphere
journal::international journal of electrical and computer engineering (ijece),International Journal of Electrical and Computer Engineering (IJECE)
journal::journal of dairy science,Journal of Dairy Science
journal::spektra jurnal kajian pendidikan sains,SPEKTRA Jurnal Kajian Pendidikan Sains
journal::journal of oral and facial pain and headache,Journal of Oral and Facial Pain and Headache
journal::hrb open research,HRB Open Research
journal::informatics,Informatics
journal::journal of consulting and clinical psychology,Journal of Consulting and Clinical Psychology
journal::nephron,Nephron
journal::naukovyi visnyk natsionalnoho hirnychoho universytetu,Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu
journal::acs omega,ACS Omega
journal::media ethics: human ecology a connected world,Media Ethics: Human Ecology a Connected World
"journal::ieee transactions on systems, man and cybernetics","IEEE Transactions on Systems, Man and Cybernetics"
journal::european journal of epidemiology,European Journal of Epidemiology
journal::digit. signal process.,Digit. Signal Process.
"journal::transactions on social science, education and humanities research","Transactions on Social Science, Education and Humanities Research"
journal::frontiers in marine science,Frontiers in Marine Science
journal::jurnal pendidikan dan pembelajaran indonesia (jppi),Jurnal Pendidikan dan Pembelajaran Indonesia (JPPI)
journal::diabetes care,Diabetes Care
journal::frontiers in medicine,Frontiers in Medicine
journal::global fashion management conference,Global Fashion Management Conference
journal::international journal of child abuse & neglect,International Journal of Child Abuse & Neglect
journal::international conference on health informatics,International Conference on Health Informatics
journal::medical care,Medical Care
journal::computational and applied mathematics,Computational and Applied Mathematics
journal::occupational and environmental medicine,Occupational and Environmental Medicine
journal::plant signalling & behavior,Plant Signalling & Behavior
journal::journal of public health,Journal of public health
journal::highlights in science engineering and technology,Highlights in Science Engineering and Technology
journal::globalization and health,Globalization and Health
journal::wcae-4 '98,WCAE-4 '98
journal::endocrinology,Endocrinology
journal::wei sheng yan jiu = journal of hygiene research,Wei sheng yan jiu = Journal of hygiene research
journal::theoretical biology and medical modelling,Theoretical Biology and Medical Modelling
journal::machine-mediated learning,Machine-mediated learning
journal::decision sciences,Decision Sciences
journal::ieee international symposium on on-line testing and robust system design,IEEE International Symposium on On-Line Testing and Robust System Design
journal::winter simulation conference : proceedings,Winter simulation conference : proceedings
journal::journal of systems science and complexity,Journal of Systems Science and Complexity
journal::trends in hearing,Trends in Hearing
journal::health promotion international,Health Promotion International
journal::ksii transactions on internet and information systems,KSII Transactions on Internet and Information Systems
journal::journal of aircraft,Journal of Aircraft
journal::anemon muş alparslan üniversitesi sosyal bilimler dergisi,Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi
journal::british medical journal,British medical journal
journal::npj systems biology and applications,npj Systems Biology and Applications
journal::archives of environmental health an international journal,Archives of Environmental Health An International Journal
journal::international journal of semantic computing,International Journal of Semantic Computing
journal::international conference on medical image computing and computer-assisted intervention,International Conference on Medical Image Computing and Computer-Assisted Intervention
journal::acm transactions on graphics,ACM Transactions on Graphics
journal::ieee journal of biomedical and health informatics,IEEE journal of biomedical and health informatics
journal::journal of cardiovascular pharmacology,Journal of Cardiovascular Pharmacology
journal::european journal of preventive cardiology,European Journal of Preventive Cardiology
journal::frontiers in oncology,Frontiers in Oncology
journal::nature communications,Nature Communications
journal::tropical and subtropical agroecosystems,Tropical and Subtropical Agroecosystems
journal::ieee transactions on geoscience and remote sensing,IEEE Transactions on Geoscience and Remote Sensing
journal::journal of child psychology and psychiatry and allied disciplines,Journal of Child Psychology and Psychiatry and Allied Disciplines
journal::ieee transactions on biomedical engineering,IEEE Transactions on Biomedical Engineering
journal::bmc psychology,BMC Psychology
journal::journal of physical chemistry a,Journal of Physical Chemistry A
journal::sn computer science,SN Computer Science
journal::new england journal of medicine,New England Journal of Medicine
journal::comput. methods programs biomed.,Comput. Methods Programs Biomed.
journal::experimental and molecular medicine,Experimental and Molecular Medicine
"journal::international conference on systems, signals, and image processing","International Conference on Systems, Signals, and Image Processing"
journal::royal society open science,Royal Society Open Science
journal::the journal of frailty & aging,The Journal of frailty & aging
journal::ieee/asme transactions on mechatronics,IEEE/ASME transactions on mechatronics
journal::j. electronic imaging,J. Electronic Imaging
journal::cell and tissue kinetics,Cell and tissue kinetics
journal::lgbt health,LGBT Health
journal::american journal of physiology - gastrointestinal and liver physiology,American Journal of Physiology - Gastrointestinal and Liver Physiology
journal::methods of information in medicine,Methods of Information in Medicine
journal::ieee international conference on consumer electronics,IEEE International Conference on Consumer Electronics
journal::cancer immunology and immunotherapy,Cancer Immunology and Immunotherapy
journal::proceedings of the national academy of sciences of the united states of america,Proceedings of the National Academy of Sciences of the United States of America
journal::current hiv/aids reports,Current HIV/AIDS Reports
journal::decision analytics,Decision Analytics
journal::poultry science,Poultry Science
journal::international journal of innovative science and research technology,International Journal of Innovative Science and Research Technology
journal::world electric vehicle journal,World Electric Vehicle Journal
journal::american journal of qualitative research,American Journal of Qualitative Research
journal::medical engineering and physics,Medical Engineering and Physics
journal::inżynieria mineralna,Inżynieria Mineralna
journal::frontiers in cell and developmental biology,Frontiers in Cell and Developmental Biology
journal::cellular and molecular gastroenterology and hepatology,Cellular and Molecular Gastroenterology and Hepatology
journal::journal of the acoustical society of america,Journal of the Acoustical Society of America
journal::cancer biotherapy and radiopharmaceuticals,Cancer Biotherapy and Radiopharmaceuticals
journal::ieee transactions on medical imaging,IEEE Transactions on Medical Imaging
journal::international conference on intelligent user interfaces,International Conference on Intelligent User Interfaces
journal::family process,Family Process
journal::physical review letters,Physical Review Letters
journal::astrophysical journal,Astrophysical Journal
journal::ieee transactions on radiation and plasma medical sciences,IEEE Transactions on Radiation and Plasma Medical Sciences
journal::international journal of innovation management and organizational behavior,International Journal of Innovation Management and Organizational Behavior
journal::academic journal of management and social sciences,Academic Journal of Management and Social Sciences
journal::journal of statistical computation and simulation,Journal of Statistical Computation and Simulation
journal::archives of oto-rhino-laryngology,Archives of oto-rhino-laryngology
journal::comput. biol. medicine,Comput. Biol. Medicine
"journal::the journals of gerontology. series b, psychological sciences and social sciences","The journals of gerontology. Series B, Psychological sciences and social sciences"
journal::journal of authentic research,Journal of Authentic Research
journal::annals of vascular surgery,Annals of Vascular Surgery
journal::sri lankan journal of applied statistics,Sri Lankan Journal of Applied Statistics
journal::bmc infectious diseases,BMC Infectious Diseases
journal::australian meteorological magazine,Australian meteorological magazine
journal::journal of multimorbidity and comorbidity,Journal of Multimorbidity and Comorbidity
journal::revista politécnica,Revista Politécnica
journal::jpi (jurnal pendidikan indonesia),JPI (Jurnal Pendidikan Indonesia)
journal::jati (jurnal mahasiswa teknik informatika),JATI (Jurnal Mahasiswa Teknik Informatika)
journal::processes,Processes
journal::neural processing letters,Neural Processing Letters
journal::rairo oper. res.,RAIRO Oper. Res.
journal::jmir medical education,JMIR Medical Education
journal::neuroimage,NeuroImage
journal::artif. intell. medicine,Artif. Intell. Medicine
journal::cancer immunology research,Cancer immunology research
journal::innovations in education & teaching international,Innovations in Education & Teaching International
journal::ieee signal processing letters,IEEE Signal Processing Letters
journal::international journal of endocrinology,International Journal of Endocrinology
journal::interactive technology and smart education,Interactive Technology and Smart Education
journal::biophysical chemistry,Biophysical Chemistry
journal::journal of biomechanics,Journal of Biomechanics
journal::bmc proceedings,BMC Proceedings
journal::american journal of health promotion,American Journal of Health Promotion
journal::records of chemical sciences,Records of Chemical Sciences
journal::journal of mental health,Journal of Mental Health
journal::nuclear science and techniques,Nuclear Science and Techniques
journal::dental traumatology,Dental Traumatology
journal::jurnal ilmiah sekolah dasar,Jurnal Ilmiah Sekolah Dasar
journal::journal of neuro-oncology,Journal of Neuro-Oncology
journal::jurnal muara pendidikan,Jurnal Muara Pendidikan
"journal::physical review d, particles and fields","Physical Review D, Particles and fields"
journal::library hi tech,Library hi tech
journal::cogent education,Cogent Education
journal::waste management,Waste Management
"journal::governance. an international journal of policy, administration and institutions","Governance. An International Journal of Policy, Administration and Institutions"
journal::jurnal pendidikan sekolah dasar,Jurnal Pendidikan Sekolah Dasar
journal::molecular cancer therapeutics,Molecular Cancer Therapeutics
journal::ieee transactions on network science and engineering,IEEE Transactions on Network Science and Engineering
journal::igarss 2003. 2003 ieee international geoscience and remote sensing symposium. proceedings (ieee cat. no.03ch37477),IGARSS 2003. 2003 IEEE International Geoscience and Remote Sensing Symposium. Proceedings (IEEE Cat. No.03CH37477)
journal::npj parkinson's disease,npj Parkinson's Disease
journal::journal of pediatric surgery,Journal of Pediatric Surgery
journal::journal of molecular and cellular cardiology,Journal of Molecular and Cellular Cardiology
journal::journal of computing and information science in engineering,Journal of Computing and Information Science in Engineering
journal::canadian journal of statistics,Canadian journal of statistics
journal::agriculture,Agriculture
journal::physical review b (condensed matter),Physical Review B (Condensed Matter)
journal::epilepsy research,Epilepsy Research
"journal::physical review. e, statistical, nonlinear, and soft matter physics","Physical review. E, Statistical, nonlinear, and soft matter physics"
journal::applied sciences,Applied Sciences
journal::frontiers in psychology,Frontiers in Psychology
journal::ieee transactions on big data,IEEE Transactions on Big Data
journal::antimicrobial agents and chemotherapy,Antimicrobial Agents and Chemotherapy
journal::korean association for learner-centered curriculum and instruction,Korean Association For Learner-Centered Curriculum And Instruction
journal::journal of medical primatology,Journal of medical primatology
journal::retos,Retos
journal::ieee design & test of computers,IEEE Design & Test of Computers
journal::journal of personality assessment,Journal of Personality Assessment
journal::dtrap,DTRAP
journal::bmc microbiology,BMC Microbiology
journal::jmir public health and surveillance,JMIR Public Health and Surveillance
journal::journal of thoracic and cardiovascular surgery,Journal of Thoracic and Cardiovascular Surgery
journal::person-centered review,Person-centered review
journal::aging & mental health,Aging & Mental Health
journal::nanoscale,Nanoscale
journal::jurnal teknologi informasi indonesia (jtii),Jurnal Teknologi Informasi Indonesia (JTII)
journal::stem cells,Stem Cells
journal::j-kesmas: jurnal kesehatan masyarakat,J-KESMAS: Jurnal Kesehatan Masyarakat
journal::cancer research,Cancer Research
journal::psychopharmacology,Psychopharmacology
journal::log in,LOG IN
journal::journal of exposure science and environmental epidemiology,Journal of Exposure Science and Environmental Epidemiology
journal::anz journal of surgery,ANZ journal of surgery
journal::european journal of pharmacology,European Journal of Pharmacology
journal::journal of electrical systems,Journal of Electrical Systems
