venueId,name
journal of environmental nanotechnology,Journal of Environmental Nanotechnology
al-azhar international medical journal,Al-Azhar International Medical Journal
ejves vascular forum,EJVES Vascular Forum
journal of fisheries,Journal of Fisheries
journal of investment management,Journal of Investment Management
international journal of environmental analytical chemistry,International Journal of Environmental Analytical Chemistry
transportation research part a: policy and practice,Transportation Research Part A: Policy and Practice
open journal of radiology and medical imaging,Open Journal of Radiology and Medical Imaging
iacr cryptology eprint archive,IACR Cryptology ePrint Archive
scholars academic journal of pharmacy,Scholars Academic Journal of Pharmacy
corporate & business strategy review,Corporate & Business Strategy Review
the qualitative report,The Qualitative Report
nawasena : jurnal ilmiah pariwisata,NAWASENA : Jurnal Ilmiah Pariwisata
environmental monitoring & assessment,Environmental Monitoring & Assessment
at - automatisierungstechnik,at - Automatisierungstechnik
independent journal of management &amp; production,Independent Journal of Management &amp; Production
frontiers in pediatrics,Frontiers in Pediatrics
world journal of clinical cases,World Journal of Clinical Cases
medical care,Medical Care
annals of clinical microbiology and antimicrobials,Annals of Clinical Microbiology and Antimicrobials
accounting research journal,Accounting Research Journal
jurnal humanities pengabdian kepada masyarakat,Jurnal Humanities Pengabdian Kepada Masyarakat
international journal of educational research &amp; social sciences,International Journal of Educational Research &amp; Social Sciences
system research in energy,System Research in Energy
supply chain management,Supply Chain Management
"international journal of business, economics and management","International Journal of Business, Economics and Management"
підприємництво і торгівля,Підприємництво і торгівля
neurological therapeutics,Neurological Therapeutics
journal of osteopathic medicine,Journal of Osteopathic Medicine
icmlca,ICMLCA
jurnal riset bisnis dan manajemen tirtayasa,Jurnal Riset Bisnis dan Manajemen Tirtayasa
hormone research in paediatrics,Hormone Research in Paediatrics
current problems in cancer,Current Problems in Cancer
ukrainian journal of applied economics and technology,Ukrainian Journal of Applied Economics and Technology
competitiveness review: an international business journal,Competitiveness Review: An International Business Journal
ieee international workshop on computer aided modeling and design of communication links and networks,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks
financial and credit activity problems of theory and practice,Financial and credit activity problems of theory and practice
international journal of environmental science and technology,International Journal of Environmental Science and Technology
greenation international journal of law and social sciences,Greenation International Journal of Law and Social Sciences
postgraduate medical journal,Postgraduate medical journal
insight - statistics,Insight - Statistics
journal of clinical oncology,Journal of Clinical Oncology
international journal of emerging trends in social sciences,International Journal of Emerging Trends in Social Sciences
journal of medical imaging,Journal of Medical Imaging
"journal of telecommunication, electronic and computer engineering","Journal of Telecommunication, Electronic and Computer Engineering"
earth and space science,Earth and Space Science
tropical and subtropical agroecosystems,Tropical and Subtropical Agroecosystems
frontiers in psychology,Frontiers in Psychology
circulation,Circulation
journal of governance and regulation,Journal of Governance and Regulation
e-kafkas eğitim araştırmaları dergisi,e-Kafkas Eğitim Araştırmaları Dergisi
journal of social science and business studies,Journal of Social Science and Business Studies
international journal of security privacy and trust management,International Journal of Security Privacy and Trust Management
frontiers in environmental science,Frontiers in Environmental Science
"day 3 thu, september 07, 2023","Day 3 Thu, September 07, 2023"
aging clinical and experimental research,Aging Clinical and Experimental Research
journal of petroleum exploration and production technology,Journal of Petroleum Exploration and Production Technology
journal of medical systems,Journal of medical systems
iranian journal of reproductive medicine,Iranian Journal of Reproductive Medicine
peerj computer science,PeerJ Computer Science
virtual and mobile healthcare,Virtual and Mobile Healthcare
journal of infection and public health,Journal of Infection and Public Health
medicina,Medicina
shs web of conferences,SHS Web of Conferences
managere,Managere
reputation jurnal hubungan masyarakat,Reputation Jurnal Hubungan Masyarakat
jurnal ilmu perpustakaan,Jurnal Ilmu Perpustakaan
journal of oncology pharmacy practice,Journal of Oncology Pharmacy Practice
conference 2023,CONFERENCE 2023
2024 ieee 10th international conference on underwater system technology: theory and applications (usys),2024 IEEE 10th International Conference on Underwater System Technology: Theory and Applications (USYS)
journal of global information management,Journal of Global Information Management
ieee transactions on dependable and secure computing,IEEE Transactions on Dependable and Secure Computing
acta medica academica,Acta Medica Academica
proceedings of the 1st non formal education international conference (nfeic 2018),Proceedings of the 1st Non Formal Education International Conference (NFEIC 2018)
journal of trade science,Journal of Trade Science
water policy,Water Policy
pacific-asia conference on knowledge discovery and data mining,Pacific-Asia Conference on Knowledge Discovery and Data Mining
asian journal of management analytics,Asian Journal of Management Analytics
journal of orthopaedic science,Journal of Orthopaedic Science
bmj public health,BMJ public health
journal of applied and service climatology,Journal of Applied and Service Climatology
journal of industrial textiles,Journal of Industrial Textiles
insignia: journal of international relations,Insignia: Journal of International Relations
journal of technology in entrepreneurship and strategic management,Journal of Technology in Entrepreneurship and Strategic Management
health informatics journal,Health Informatics Journal
international journal of social sciences &amp; educational studies,International Journal of Social Sciences &amp; Educational Studies
jurnal ilmu-ilmu peternakan,Jurnal Ilmu-Ilmu Peternakan
agricultural socio-economics journal,Agricultural Socio-Economics Journal
national journal of community medicine,National Journal of Community Medicine
jurnal pendidikan karakter,Jurnal Pendidikan Karakter
international journal of agriculture and biology,International Journal of Agriculture and Biology
al-infaq jurnal ekonomi islam,Al-Infaq Jurnal Ekonomi Islam
global social sciences review,Global Social Sciences Review
facilities,Facilities
symposium on dependable autonomic and secure computing,Symposium on Dependable Autonomic and Secure Computing
jurnal bppk  (badan pendidikan dan pelatihan keuangan),Jurnal BPPK  (Badan Pendidikan dan Pelatihan Keuangan)
asian social work journal,Asian Social Work Journal
north american journal of fisheries management,North American Journal of Fisheries Management
"problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny","Problemy sotsial'noi gigieny, zdravookhraneniia i istorii meditsiny"
journal of water and land development,Journal of Water and Land Development
education + training,Education + Training
the international journal of life cycle assessment,The International Journal of Life Cycle Assessment
digestive disease interventions,Digestive Disease Interventions
competitiveness and innovation in the knowledge economy,Competitiveness and Innovation in the Knowledge Economy
ekombis review: jurnal ilmiah ekonomi dan bisnis,EKOMBIS REVIEW: Jurnal Ilmiah Ekonomi dan Bisnis
"international conference on dependable systems, services and technologies","International Conference on Dependable Systems, Services and Technologies"
bone,Bone
recycling,Recycling
journal of reliable intelligent environments,Journal of Reliable Intelligent Environments
ecotoxicology and environmental safety,Ecotoxicology and Environmental Safety
international journal of biological and chemical sciences,International Journal of Biological and Chemical Sciences
manajemen &amp; bisnis jurnal,Manajemen &amp; Bisnis Jurnal
european urology,European Urology
water research,Water Research
jurnal kesehatan lldikti wilayah 1 (jukes),Jurnal Kesehatan LLDikti Wilayah 1 (JUKES)
international symposium on computer architecture,International Symposium on Computer Architecture
journal of economic bussines and accounting (costing),Journal of Economic Bussines and Accounting (COSTING)
jbi evidence synthesis,JBI Evidence Synthesis
influence international journal of science review,INFLUENCE International Journal of Science Review
canadian journal of emergency medicine,Canadian Journal of Emergency Medicine
metabolites,Metabolites
"renewables: wind, water, and solar","Renewables: Wind, Water, and Solar"
international symposium on computers in education,International Symposium on Computers in Education
the lancet rheumatology,The Lancet Rheumatology
management &amp; sustainability: an arab review,Management &amp; Sustainability: An Arab Review
akademik: jurnal mahasiswa humanis,AKADEMIK: Jurnal Mahasiswa Humanis
journal of education and health promotion,Journal of Education and Health Promotion
bjpsych open,BJPsych Open
international journal of business ecosystem &amp; strategy (2687-2293),International Journal of Business Ecosystem &amp; Strategy (2687-2293)
international journal of scientific research,International journal of scientific research
international journal of pediatric otorhinolaryngology,International Journal of Pediatric Otorhinolaryngology
international journal of financial accounting and management,International Journal of Financial Accounting and Management
journal of the american academy of orthopaedic surgeons,Journal of the American Academy of Orthopaedic Surgeons
environmental conservation,Environmental Conservation
three seas economic journal,Three Seas Economic Journal
journal of affective disorders,Journal of Affective Disorders
theriogenology,Theriogenology
international journal of emerging technologies in learning (ijet),International Journal of Emerging Technologies in Learning (iJET)
sigdial conferences,SIGDIAL Conferences
"2020 ieee intl conf on parallel & distributed processing with applications, big data & cloud computing, sustainable computing & communications, social computing & networking (ispa/bdcloud/socialcom/sustaincom)","2020 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)"
international journal of computer trends and technology,International Journal of Computer Trends and Technology
open forum infectious diseases,Open Forum Infectious Diseases
ieee transactions on circuits and systems for video technology (print),IEEE transactions on circuits and systems for video technology (Print)
ieee symposium on security and privacy,IEEE Symposium on Security and Privacy
journal of aapos,Journal of AAPOS
sigmod conference,SIGMOD Conference
sustainability science,Sustainability Science
information fusion,Information Fusion
acm conference on recommender systems,ACM Conference on Recommender Systems
international conference on data technologies and applications,International Conference on Data Technologies and Applications
acm transactions on management information systems,ACM Transactions on Management Information Systems
quality of life research,Quality of Life Research
evolutionary systematics,Evolutionary Systematics
applied intelligence (boston),Applied intelligence (Boston)
ieee international conference on data engineering,IEEE International Conference on Data Engineering
the web conference,The Web Conference
journal of medical internet research,Journal of Medical Internet Research
knowledge discovery and data mining,Knowledge Discovery and Data Mining
icpr workshops,ICPR Workshops
international conference on computers for handicapped persons,International Conference on Computers for Handicapped Persons
journal of contemporary studies in library and information science,Journal of Contemporary Studies in library and Information Science
scientific programming,Scientific Programming
international workshop on semantic evaluation,International Workshop on Semantic Evaluation
journal of shoulder and elbow surgery,Journal of shoulder and elbow surgery
time,Time
clinical cancer research,Clinical Cancer Research
expert systems with applications,Expert systems with applications
international conference on model-driven engineering and software development,International Conference on Model-Driven Engineering and Software Development
molecular ecology resources,Molecular Ecology Resources
2021 2nd international conference on secure cyber computing and communications (icsccc),2021 2nd International Conference on Secure Cyber Computing and Communications (ICSCCC)
voprosy ekonomiki,Voprosy Ekonomiki
genetics in medicine,Genetics in Medicine
concurrency and computation,Concurrency and Computation
international conference on information and knowledge management,International Conference on Information and Knowledge Management
english language teaching,English Language Teaching
avocetta,Avocetta
international symposium on computers and communications,International Symposium on Computers and Communications
journal of indo-pacific archaeology,Journal of Indo-Pacific Archaeology
"sbv journal of basic, clinical and applied health science","SBV Journal of Basic, Clinical and Applied Health Science"
medical informatics europe,Medical Informatics Europe
bioinform.,Bioinform.
lsc@icmr,LSC@ICMR
confluence,Confluence
frontiers of computer science,Frontiers of Computer Science
proceedings of the nutrition society,Proceedings of the Nutrition Society
theoretical aspects of software engineering,Theoretical Aspects of Software Engineering
acta informatica medica : aim : journal of the society for medical informatics of bosnia & herzegovina : casopis drustva za medicinsku informatiku bih,Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH
neural networks,Neural Networks
ieee symposium on field-programmable custom computing machines,IEEE Symposium on Field-Programmable Custom Computing Machines
international conference on computer science and information technologies,International Conference on Computer Science and Information Technologies
european journal of endocrinology,European Journal of Endocrinology
guidelines and standards of chinese medicine,Guidelines and Standards of Chinese Medicine
proceedings of the sriwijaya international conference on information technology and its applications (siconian 2019),Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019)
petra,Petra
international conference on extending database technology,International Conference on Extending Database Technology
smart,SMART
2022 3rd international conference on smart electronics and communication (icosec),2022 3rd International Conference on Smart Electronics and Communication (ICOSEC)
neuroepidemiology,Neuroepidemiology
european conference on information retrieval,European Conference on Information Retrieval
pattern recognition,Pattern Recognition
eastern-european journal of enterprise technologies,Eastern-European Journal of Enterprise Technologies
yoga mimamsa,Yoga Mimamsa
current directions in biomedical engineering,Current Directions in Biomedical Engineering
msystems,mSystems
ieee transactions on intelligent transportation systems (print),IEEE transactions on intelligent transportation systems (Print)
chemical sensors,Chemical Sensors
journal of intelligence and information systems,Journal of Intelligence and Information Systems
american journal of medicine open,American Journal of Medicine Open
neurocomputing,Neurocomputing
jmir aging,JMIR Aging
gynecologic oncology,Gynecologic Oncology
journal of orthopaedic surgery,Journal of Orthopaedic Surgery
genetics and molecular biology,Genetics and Molecular Biology
international conference on frontiers in intelligent computing: theory and applications,International Conference on Frontiers in Intelligent Computing: Theory and Applications
european journal of cell biology,European Journal of Cell Biology
"day 3 thu, may 09, 2024","Day 3 Thu, May 09, 2024"
sigmod conference companion,SIGMOD Conference Companion
indian journal of orthopaedics,Indian Journal of Orthopaedics
protein science,Protein Science
2024 ieee international conference on intelligent signal processing and effective communication technologies (inspect),2024 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies (INSPECT)
symposium on the theory of computing,Symposium on the Theory of Computing
big data in bioeconomy,Big Data in Bioeconomy
bulletin of the american meteorological society - (bams),Bulletin of The American Meteorological Society - (BAMS)
jmir medical informatics,JMIR Medical Informatics
plastic and reconstructive surgery,Plastic and Reconstructive Surgery
international conference on language resources and evaluation,International Conference on Language Resources and Evaluation
journal of artificial intelligence &amp; cloud computing,Journal of Artificial Intelligence &amp; Cloud Computing
ieee transactions on engineering management,IEEE transactions on engineering management
medical science monitor,Medical Science Monitor
information sciences,Information Sciences
ieee transactions on visualization and computer graphics,IEEE Transactions on Visualization and Computer Graphics
conference on empirical methods in natural language processing,Conference on Empirical Methods in Natural Language Processing
international conference intelligent computing and control systems,International Conference Intelligent Computing and Control Systems
ieee conference on computer communications,IEEE Conference on Computer Communications
2021 ieee international conference on artificial intelligence and computer applications (icaica),2021 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA)
acta oncologica,Acta oncologica
abstracts of the ica,Abstracts of the ICA
2022 international conference on electronics and renewable systems (icears),2022 International Conference on Electronics and Renewable Systems (ICEARS)
international conference on information integration and web-based applications & services,International Conference on Information Integration and Web-based Applications & Services
clinical neurology and neurosurgery (dutch-flemish ed. print),Clinical neurology and neurosurgery (Dutch-Flemish ed. Print)
journal of optometry,Journal of Optometry
2022 global reliability and prognostics and health management (phm-yantai),2022 Global Reliability and Prognostics and Health Management (PHM-Yantai)
orthopaedic journal of sports medicine,Orthopaedic Journal of Sports Medicine
international journal of information security,International Journal of Information Security
education and information technologies : official journal of the ifip technical committee on education,Education and Information Technologies : Official Journal of the IFIP technical committee on Education
general reanimatology,General Reanimatology
journal of medical screening,Journal of Medical Screening
jacc: cardiovascular interventions,JACC: Cardiovascular Interventions
jerusalem journal of archaeology,Jerusalem Journal of Archaeology
european journal of surgical oncology,European Journal of Surgical Oncology
"fachtagung ""e-learning"" der gesellschaft für informatik","Fachtagung ""e-Learning"" der Gesellschaft für Informatik"
aaai conference on artificial intelligence,AAAI Conference on Artificial Intelligence
ankara hacı bayram veli üniversitesi i̇ktisadi ve i̇dari bilimler fakültesi dergisi,Ankara Hacı Bayram Veli Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi
ieee international conference on e-business engineering,IEEE International Conference on e-Business Engineering
international conference on the theory of information retrieval,International Conference on the Theory of Information Retrieval
iscience,iScience
science and transport progress,Science and Transport Progress
2024 6th international conference on frontier technologies of information and computer (icftic),2024 6th International Conference on Frontier Technologies of Information and Computer (ICFTIC)
asset analytics,Asset Analytics
wideochirurgia i inne techniki maloinwazyjne = videosurgery and other miniinvasive techniques,Wideochirurgia i inne techniki maloinwazyjne = Videosurgery and other miniinvasive techniques
journal of ambient intelligence and humanized computing,Journal of Ambient Intelligence and Humanized Computing
eclinicalmedicine,EClinicalMedicine
neuro-oncology advances,Neuro-Oncology Advances
data science in finance and economics,Data Science in Finance and Economics
british dental journal,British Dental Journal
journal of information systems engineering & management,Journal of Information Systems Engineering & Management
spine,Spine
journal of automated reasoning,Journal of automated reasoning
ieee joint international information technology and artificial intelligence conference,IEEE Joint International Information Technology and Artificial Intelligence Conference
geofluids,Geofluids
international conference of distributed computing and networking,International Conference of Distributed Computing and Networking
the spine journal,The spine journal
bmc gastroenterology,BMC Gastroenterology
european radiology,European Radiology
"2020 international conferences on internet of things (ithings) and ieee green computing and communications (greencom) and ieee cyber, physical and social computing (cpscom) and ieee smart data (smartdata) and ieee congress on cybermatics (cybermatics)","2020 International Conferences on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)"
wireless personal communications,Wireless personal communications
international conference on multimedia retrieval,International Conference on Multimedia Retrieval
international conference on climate informatics,International Conference on Climate Informatics
scientific data,Scientific Data
advances in distributed computing and artificial intelligence journal,Advances in Distributed Computing and Artificial Intelligence Journal
international journal of retail & distribution management,International Journal of Retail & Distribution Management
environmental evidence,Environmental Evidence
international symposium on algorithms and computation,International Symposium on Algorithms and Computation
progress in artificial intelligence,Progress in Artificial Intelligence
journal of cloud computing,Journal of Cloud Computing
clinical spine surgery,Clinical Spine Surgery
iaf human spaceflight symposium,IAF Human Spaceflight Symposium
environment and planning,Environment and Planning
academic psychiatry,Academic Psychiatry
annual meeting of the association for computational linguistics,Annual Meeting of the Association for Computational Linguistics
"international conference on geographical information systems theory, applications and management","International Conference on Geographical Information Systems Theory, Applications and Management"
journal of artificial intelligence and capsule networks,Journal of Artificial Intelligence and Capsule Networks
ieee international conference on robotics and automation,IEEE International Conference on Robotics and Automation
programming and computer software,Programming and computer software
indonesian journal of electrical engineering and computer science,Indonesian Journal of Electrical Engineering and Computer Science
the superior journal of physical therapy and rehabilitation,The Superior Journal of Physical Therapy and Rehabilitation
cybersecurity and cyberforensics conference,Cybersecurity and Cyberforensics Conference
archives of orthopaedic and trauma surgery,Archives of Orthopaedic and Trauma Surgery
journal of intensive care medicine,Journal of Intensive Care Medicine
2023 2nd international conference on edge computing and applications (icecaa),2023 2nd International Conference on Edge Computing and Applications (ICECAA)
symposium on advances in databases and information systems,Symposium on Advances in Databases and Information Systems
international journal of advanced computer science and applications,International Journal of Advanced Computer Science and Applications
database j. biol. databases curation,Database J. Biol. Databases Curation
annual international acm sigir conference on research and development in information retrieval,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval
international conference on software engineering and knowledge engineering,International Conference on Software Engineering and Knowledge Engineering
2024 international conference on automation and computation (autocom),2024 International Conference on Automation and Computation (AUTOCOM)
economics. law. innovaion,Economics. Law. Innovaion
international conference on artificial intelligence and soft computing,International Conference on Artificial Intelligence and Soft Computing
international conference on signals and electronic systems,International Conference on Signals and Electronic Systems
journal of the american society for mass spectrometry,Journal of the American Society for Mass Spectrometry
research in international business and finance,Research In International Business and Finance
"2023 international conference on research methodologies in knowledge management, artificial intelligence and telecommunication engineering (rmkmate)","2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)"
acm turing celebration conference,ACM Turing Celebration Conference
international conference on computer modeling and simulation,International Conference on Computer Modeling and Simulation
european conference on computer vision,European Conference on Computer Vision
obstetrics &amp; gynecology,Obstetrics &amp; Gynecology
the american surgeon,The American surgeon
arthroplasty today,Arthroplasty Today
inf.,Inf.
nature medicine,Nature Medicine
proceedings of 24th scientific conference “scientific services &amp; internet – 2022”,Proceedings of 24th Scientific Conference “Scientific Services &amp; Internet – 2022”
"european journal of obstetrics, gynecology, and reproductive biology","European Journal of Obstetrics, Gynecology, and Reproductive Biology"
bmc bioinformatics,BMC Bioinformatics
international conference on wireless communications and mobile computing,International Conference on Wireless Communications and Mobile Computing
birdem medical journal,BIRDEM Medical Journal
epidemiology and vaccinal prevention,Epidemiology and Vaccinal Prevention
annals of vascular surgery,Annals of Vascular Surgery
ideal,Ideal
bde,BDE
international journal of impotence research,International journal of impotence research
medicine,Medicine
practical radiation oncology,Practical Radiation Oncology
revista galega de economía,Revista Galega de Economía
siggraph asia posters,SIGGRAPH Asia Posters
2021 third international conference on intelligent communication technologies and virtual mobile networks (icicv),2021 Third International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV)
vii congreso xovetic: impulsando el talento científico,VII Congreso XoveTIC: impulsando el talento científico
nature cell biology,Nature Cell Biology
mechanics and mathematical methods,Mechanics And Mathematical Methods
biology,Biology
scientific journal of technology,Scientific Journal of Technology
"brazilian symposium on software components, architectures and reuse","Brazilian Symposium on Software Components, Architectures and Reuse"
population: research and policy review,Population: Research and Policy Review
journal of supercomputing,Journal of Supercomputing
mediterranean conference on embedded computing,Mediterranean Conference on Embedded Computing
studies in economics and finance,Studies in Economics and Finance
annals of mathematics and artificial intelligence,Annals of Mathematics and Artificial Intelligence
arthroscopy: the journal of arthroscopy and related,Arthroscopy: The Journal of Arthroscopy And Related
international conference on ai-ml-systems,International Conference on AI-ML-Systems
the journal of hand surgery (asian-pacific volume),The Journal of Hand Surgery (Asian-Pacific Volume)
the journal of heart and lung transplantation,The Journal of Heart and Lung Transplantation
brazilian symposium on multimedia and the web,Brazilian Symposium on Multimedia and the Web
international journal of gynecological cancer,International Journal of Gynecological Cancer
journal of surgical research,Journal of Surgical Research
international journal of scientific advances,International Journal Of Scientific Advances
special issue: self-access and self-directed language learning in europe,Special Issue: Self-Access and Self-Directed Language Learning in Europe
computers & electrical engineering,Computers & electrical engineering
ieee transactions on mobile computing,IEEE Transactions on Mobile Computing
"2024 international conference on artificial intelligence, metaverse and cybersecurity (icamac)","2024 International Conference on Artificial Intelligence, Metaverse and Cybersecurity (ICAMAC)"
grades-nda@sigmod,GRADES-NDA@SIGMOD
international conference on computing communication and networking technologies,International Conference on Computing Communication and Networking Technologies
"ieee international conference on acoustics, speech, and signal processing","IEEE International Conference on Acoustics, Speech, and Signal Processing"
isprs int. j. geo inf.,ISPRS Int. J. Geo Inf.
bigdata congress [services society],BigData Congress [Services Society]
ieee transactions on knowledge and data engineering,IEEE Transactions on Knowledge and Data Engineering
cluster computing,Cluster Computing
biopsychosocial medicine,BioPsychoSocial Medicine
"international conference design, engineering and computer sciences","International Conference Design, Engineering and Computer Sciences"
american journal of gastroenterology,American Journal of Gastroenterology
digital medievalist,Digital Medievalist
2023 ieee conference on games (cog),2023 IEEE Conference on Games (CoG)
ieee transactions on industrial informatics,IEEE Transactions on Industrial Informatics
information and software technology,Information and Software Technology
international neurourology journal,International Neurourology Journal
automatic documentation and mathematical linguistics,Automatic Documentation and Mathematical Linguistics
bmc musculoskeletal disorders,BMC Musculoskeletal Disorders
australian veterinary journal,Australian Veterinary Journal
contraception,Contraception
distributed event-based systems,Distributed Event-Based Systems
"2022 international conference on communications, information, electronic and energy systems (ciees)","2022 International Conference on Communications, Information, Electronic and Energy Systems (CIEES)"
journal of adolescent and young adult oncology,Journal of Adolescent and Young Adult Oncology
nar genomics and bioinformatics,NAR Genomics and Bioinformatics
australasian conference on interactive entertainment,Australasian Conference on Interactive Entertainment
informs journal on computing,INFORMS journal on computing
journal of pediatric urology,Journal of Pediatric Urology
methods in molecular biology,Methods in molecular biology
similarity search and applications,Similarity Search and Applications
2019 international conference on computational science and computational intelligence (csci),2019 International Conference on Computational Science and Computational Intelligence (CSCI)
"international journal on advanced science, engineering and information technology","International Journal on Advanced Science, Engineering and Information Technology"
clinical trials,Clinical Trials
2019 international conference on innovative trends in computer engineering (itce),2019 International Conference on Innovative Trends in Computer Engineering (ITCE)
journal of clinical and translational science,Journal of Clinical and Translational Science
computing,Computing
"2022 second international conference on advanced technologies in intelligent control, environment, computing & communication engineering (icatiece)","2022 Second International Conference on Advanced Technologies in Intelligent Control, Environment, Computing & Communication Engineering (ICATIECE)"
interantional journal of scientific research in engineering and management,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT
ieee transactions on information theory,IEEE Transactions on Information Theory
journal of chemical information and modeling,Journal of Chemical Information and Modeling
èlektronnoe modelirovanie,Èlektronnoe modelirovanie
sustainable design and manufacturing 2019,Sustainable Design and Manufacturing 2019
acm sigmm conference on multimedia systems,ACM SIGMM Conference on Multimedia Systems
workshop on biomedical natural language processing,Workshop on Biomedical Natural Language Processing
algorithms,Algorithms
bmc public health,BMC Public Health
"design, automation and test in europe","Design, Automation and Test in Europe"
journal of wrist surgery,Journal of wrist surgery
2024 4th international conference on electronic information engineering and computer (eiect),2024 4th International Conference on Electronic Information Engineering and Computer (EIECT)
icc 2019 - 2019 ieee international conference on communications (icc),ICC 2019 - 2019 IEEE International Conference on Communications (ICC)
ieee transactions on control of network systems,IEEE Transactions on Control of Network Systems
international journal of scientific research in computer science engineering and information technology,International Journal of Scientific Research in Computer Science Engineering and Information Technology
american journal of ophthalmology-glaucoma,American journal of ophthalmology-glaucoma
cephalalgia,Cephalalgia
symposium on theoretical aspects of computer science,Symposium on Theoretical Aspects of Computer Science
2019 ieee 21st international conference on high performance computing and communications; ieee 17th international conference on smart city; ieee 5th international conference on data science and systems (hpcc/smartcity/dss),2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)
computer vision and pattern recognition,Computer Vision and Pattern Recognition
journal of dermatological treatment (print),Journal of dermatological treatment (Print)
current problems in cardiology,Current problems in cardiology
journal of natural sciences and mathematics of ut-jnsm,Journal of Natural Sciences and Mathematics of UT-JNSM
international journal of gastronomy and food science,International Journal of Gastronomy and Food Science
"ieee/acm international symposium on cluster, cloud and internet computing","IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing"
neural processing letters,Neural Processing Letters
molecules,Molecules
bmj health & care informatics,BMJ Health & Care Informatics
neurosurgical review,Neurosurgical review
2024 ieee/cvf conference on computer vision and pattern recognition workshops (cvprw),2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
international joint conference on artificial intelligence,International Joint Conference on Artificial Intelligence
2022 ieee 2nd international maghreb meeting of the conference on sciences and techniques of automatic control and computer engineering (mi-sta),2022 IEEE 2nd International Maghreb Meeting of the Conference on Sciences and Techniques of Automatic Control and Computer Engineering (MI-STA)
2021 ieee/cvf conference on computer vision and pattern recognition workshops (cvprw),2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW)
computational linguistics,Computational Linguistics
international journal on document analysis and recognition,International Journal on Document Analysis and Recognition
international symposium on computing and networking - across practical development and theoretical research,International Symposium on Computing and Networking - Across Practical Development and Theoretical Research
jurnal media informatika budidarma,JURNAL MEDIA INFORMATIKA BUDIDARMA
"conference on privacy, security and trust","Conference on Privacy, Security and Trust"
asian journal of economics and business management,Asian Journal of Economics and Business Management
american journal of medical genetics. part a,American Journal of Medical Genetics. Part A
distributed and parallel databases,Distributed and parallel databases
"description logic, theory combination, and all that","Description Logic, Theory Combination, and All That"
information and communication technology convergence,Information and Communication Technology Convergence
computer methods in applied mechanics and engineering,Computer Methods in Applied Mechanics and Engineering
journal of psychiatric research,Journal of Psychiatric Research
acm trans. spatial algorithms syst.,ACM Trans. Spatial Algorithms Syst.
acm trans. multim. comput. commun. appl.,ACM Trans. Multim. Comput. Commun. Appl.
sae technical paper series,SAE technical paper series
international conference on blockchain technology and applications,International Conference on Blockchain Technology and Applications
applied network science,Applied Network Science
ieee transactions on intelligent vehicles,IEEE Transactions on Intelligent Vehicles
eitce,EITCE
earth science informatics,Earth Science Informatics
quantitative science studies,Quantitative Science Studies
sigspatial/gis,SIGSPATIAL/GIS
midwest symposium on circuits and systems,Midwest Symposium on Circuits and Systems
international academic journal of innovative research,International Academic Journal of Innovative Research
sigmod record,SIGMOD record
2019 3rd international conference on electronic information technology and computer engineering (eitce),2019 3rd International Conference on Electronic Information Technology and Computer Engineering (EITCE)
other conferences,Other Conferences
neurosurgery,Neurosurgery
"ironmaking &amp; steelmaking: processes, products and applications","Ironmaking &amp; Steelmaking: Processes, Products and Applications"
annals of plastic surgery,Annals of Plastic Surgery
conference on current trends in theory and practice of informatics,Conference on Current Trends in Theory and Practice of Informatics
annals of surgery,Annals of Surgery
ebimcs,EBIMCS
journal of foot and ankle surgery,Journal of Foot and Ankle Surgery
earthline journal of chemical sciences,Earthline Journal of Chemical Sciences
bmc genomics,BMC Genomics
aesthetic surgery journal,Aesthetic surgery journal
journal of the american chemical society,Journal of the American Chemical Society
nucleic acids research,Nucleic Acids Research
acm multimedia asia,ACM Multimedia Asia
international conference on conceptual structures,International Conference on Conceptual Structures
